Category: All categories

Week,Anaheim pepper: (Worldwide)
2012-10-28,22
2012-11-04,29
2012-11-11,36
2012-11-18,14
2012-11-25,35
2012-12-02,14
2012-12-09,7
2012-12-16,21
2012-12-23,24
2012-12-30,7
2013-01-06,7
2013-01-13,7
2013-01-20,33
2013-01-27,7
2013-02-03,13
2013-02-10,13
2013-02-17,7
2013-02-24,32
2013-03-03,13
2013-03-10,13
2013-03-17,6
2013-03-24,26
2013-03-31,7
2013-04-07,32
2013-04-14,19
2013-04-21,26
2013-04-28,78
2013-05-05,52
2013-05-12,6
2013-05-19,13
2013-05-26,26
2013-06-02,19
2013-06-09,6
2013-06-16,6
2013-06-23,39
2013-06-30,46
2013-07-07,53
2013-07-14,20
2013-07-21,39
2013-07-28,53
2013-08-04,27
2013-08-11,72
2013-08-18,19
2013-08-25,25
2013-09-01,38
2013-09-08,24
2013-09-15,31
2013-09-22,25
2013-09-29,48
2013-10-06,36
2013-10-13,24
2013-10-20,24
2013-10-27,24
2013-11-03,12
2013-11-10,24
2013-11-17,12
2013-11-24,18
2013-12-01,23
2013-12-08,18
2013-12-15,18
2013-12-22,7
2013-12-29,25
2014-01-05,12
2014-01-12,34
2014-01-19,22
2014-01-26,22
2014-02-02,30
2014-02-09,39
2014-02-16,11
2014-02-23,39
2014-03-02,17
2014-03-09,34
2014-03-16,28
2014-03-23,16
2014-03-30,28
2014-04-06,11
2014-04-13,29
2014-04-20,12
2014-04-27,17
2014-05-04,39
2014-05-11,11
2014-05-18,30
2014-05-25,25
2014-06-01,37
2014-06-08,44
2014-06-15,25
2014-06-22,19
2014-06-29,39
2014-07-06,50
2014-07-13,13
2014-07-20,51
2014-07-27,38
2014-08-03,60
2014-08-10,44
2014-08-17,56
2014-08-24,74
2014-08-31,18
2014-09-07,53
2014-09-14,42
2014-09-21,18
2014-09-28,59
2014-10-05,12
2014-10-12,40
2014-10-19,35
2014-10-26,29
2014-11-02,17
2014-11-09,22
2014-11-16,11
2014-11-23,28
2014-11-30,22
2014-12-07,28
2014-12-14,6
2014-12-21,13
2014-12-28,37
2015-01-04,16
2015-01-11,11
2015-01-18,21
2015-01-25,21
2015-02-01,59
2015-02-08,11
2015-02-15,55
2015-02-22,37
2015-03-01,16
2015-03-08,32
2015-03-15,26
2015-03-22,40
2015-03-29,5
2015-04-05,43
2015-04-12,64
2015-04-19,21
2015-04-26,37
2015-05-03,21
2015-05-10,27
2015-05-17,27
2015-05-24,21
2015-05-31,32
2015-06-07,27
2015-06-14,32
2015-06-21,53
2015-06-28,11
2015-07-05,27
2015-07-12,48
2015-07-19,44
2015-07-26,5
2015-08-02,27
2015-08-09,53
2015-08-16,42
2015-08-23,21
2015-08-30,31
2015-09-06,51
2015-09-13,40
2015-09-20,25
2015-09-27,20
2015-10-04,20
2015-10-11,39
2015-10-18,15
2015-10-25,49
2015-11-01,44
2015-11-08,25
2015-11-15,30
2015-11-22,35
2015-11-29,15
2015-12-06,20
2015-12-13,25
2015-12-20,22
2015-12-27,22
2016-01-03,26
2016-01-10,15
2016-01-17,15
2016-01-24,26
2016-01-31,41
2016-02-07,26
2016-02-14,20
2016-02-21,15
2016-02-28,40
2016-03-06,31
2016-03-13,31
2016-03-20,21
2016-03-27,41
2016-04-03,5
2016-04-10,31
2016-04-17,21
2016-04-24,40
2016-05-01,62
2016-05-08,31
2016-05-15,20
2016-05-22,41
2016-05-29,32
2016-06-05,21
2016-06-12,36
2016-06-19,42
2016-06-26,21
2016-07-03,39
2016-07-10,11
2016-07-17,33
2016-07-24,22
2016-07-31,39
2016-08-07,28
2016-08-14,35
2016-08-21,39
2016-08-28,49
2016-09-04,37
2016-09-11,27
2016-09-18,42
2016-09-25,16
2016-10-02,21
2016-10-09,37
2016-10-16,26
2016-10-23,31
2016-10-30,16
2016-11-06,25
2016-11-13,5
2016-11-20,20
2016-11-27,49
2016-12-04,33
2016-12-11,15
2016-12-18,26
2016-12-25,32
2017-01-01,10
2017-01-08,68
2017-01-15,33
2017-01-22,19
2017-01-29,43
2017-02-05,23
2017-02-12,19
2017-02-19,38
2017-02-26,24
2017-03-05,37
2017-03-12,32
2017-03-19,9
2017-03-26,38
2017-04-02,34
2017-04-09,39
2017-04-16,48
2017-04-23,19
2017-04-30,39
2017-05-07,38
2017-05-14,35
2017-05-21,31
2017-05-28,31
2017-06-04,50
2017-06-11,36
2017-06-18,44
2017-06-25,26
2017-07-02,57
2017-07-09,15
2017-07-16,31
2017-07-23,56
2017-07-30,54
2017-08-06,39
2017-08-13,50
2017-08-20,59
2017-08-27,54
2017-09-03,59
2017-09-10,29
2017-09-17,39
2017-09-24,53
2017-10-01,58
2017-10-08,33
2017-10-15,14
2017-10-22,100
