Category: All categories

Country,Chile de árbol: (10/26/12 - 10/26/17)
Mexico,100
Puerto Rico,48
Guatemala,48
Costa Rica,45
Honduras,43
El Salvador,31
Panama,31
Nicaragua,29
Chile,26
Colombia,23
Paraguay,23
Ecuador,21
Uruguay,18
Argentina,17
Peru,16
Bolivia,16
Venezuela,16
United States,15
Dominican Republic,14
Canada,4
Spain,4
Iceland,3
Sweden,2
United Kingdom,2
Australia,1
Norway,1
Switzerland,1
Netherlands,1
Germany,1
Italy,1
Hungary,1
France,0
Philippines,0
Japan,0
Brazil,0
Poland,0
India,0
Indonesia,0
