Category: All categories

Week,Chile de árbol: (Worldwide)
2012-10-28,21
2012-11-04,21
2012-11-11,28
2012-11-18,20
2012-11-25,28
2012-12-02,22
2012-12-09,22
2012-12-16,20
2012-12-23,24
2012-12-30,24
2013-01-06,20
2013-01-13,19
2013-01-20,21
2013-01-27,28
2013-02-03,18
2013-02-10,19
2013-02-17,25
2013-02-24,19
2013-03-03,24
2013-03-10,25
2013-03-17,26
2013-03-24,16
2013-03-31,20
2013-04-07,23
2013-04-14,22
2013-04-21,25
2013-04-28,25
2013-05-05,23
2013-05-12,22
2013-05-19,25
2013-05-26,22
2013-06-02,21
2013-06-09,21
2013-06-16,23
2013-06-23,21
2013-06-30,20
2013-07-07,21
2013-07-14,21
2013-07-21,25
2013-07-28,26
2013-08-04,20
2013-08-11,23
2013-08-18,20
2013-08-25,24
2013-09-01,27
2013-09-08,27
2013-09-15,28
2013-09-22,28
2013-09-29,23
2013-10-06,26
2013-10-13,26
2013-10-20,26
2013-10-27,29
2013-11-03,23
2013-11-10,26
2013-11-17,24
2013-11-24,28
2013-12-01,23
2013-12-08,22
2013-12-15,22
2013-12-22,29
2013-12-29,28
2014-01-05,23
2014-01-12,25
2014-01-19,24
2014-01-26,27
2014-02-02,23
2014-02-09,22
2014-02-16,27
2014-02-23,28
2014-03-02,24
2014-03-09,29
2014-03-16,25
2014-03-23,31
2014-03-30,26
2014-04-06,21
2014-04-13,24
2014-04-20,23
2014-04-27,30
2014-05-04,21
2014-05-11,23
2014-05-18,26
2014-05-25,27
2014-06-01,25
2014-06-08,26
2014-06-15,22
2014-06-22,24
2014-06-29,23
2014-07-06,23
2014-07-13,28
2014-07-20,28
2014-07-27,27
2014-08-03,27
2014-08-10,27
2014-08-17,28
2014-08-24,30
2014-08-31,25
2014-09-07,22
2014-09-14,27
2014-09-21,28
2014-09-28,30
2014-10-05,25
2014-10-12,27
2014-10-19,25
2014-10-26,27
2014-11-02,30
2014-11-09,30
2014-11-16,32
2014-11-23,33
2014-11-30,28
2014-12-07,25
2014-12-14,26
2014-12-21,32
2014-12-28,37
2015-01-04,32
2015-01-11,29
2015-01-18,27
2015-01-25,28
2015-02-01,23
2015-02-08,28
2015-02-15,32
2015-02-22,32
2015-03-01,27
2015-03-08,23
2015-03-15,29
2015-03-22,27
2015-03-29,25
2015-04-05,26
2015-04-12,28
2015-04-19,22
2015-04-26,31
2015-05-03,27
2015-05-10,27
2015-05-17,30
2015-05-24,29
2015-05-31,25
2015-06-07,26
2015-06-14,26
2015-06-21,27
2015-06-28,28
2015-07-05,30
2015-07-12,30
2015-07-19,31
2015-07-26,28
2015-08-02,27
2015-08-09,30
2015-08-16,28
2015-08-23,33
2015-08-30,30
2015-09-06,30
2015-09-13,34
2015-09-20,31
2015-09-27,31
2015-10-04,27
2015-10-11,28
2015-10-18,33
2015-10-25,31
2015-11-01,31
2015-11-08,30
2015-11-15,32
2015-11-22,35
2015-11-29,33
2015-12-06,32
2015-12-13,28
2015-12-20,35
2015-12-27,45
2016-01-03,56
2016-01-10,58
2016-01-17,61
2016-01-24,58
2016-01-31,56
2016-02-07,51
2016-02-14,49
2016-02-21,55
2016-02-28,57
2016-03-06,64
2016-03-13,65
2016-03-20,64
2016-03-27,63
2016-04-03,63
2016-04-10,65
2016-04-17,63
2016-04-24,56
2016-05-01,63
2016-05-08,58
2016-05-15,70
2016-05-22,63
2016-05-29,65
2016-06-05,61
2016-06-12,56
2016-06-19,63
2016-06-26,60
2016-07-03,58
2016-07-10,53
2016-07-17,50
2016-07-24,57
2016-07-31,57
2016-08-07,55
2016-08-14,51
2016-08-21,55
2016-08-28,64
2016-09-04,62
2016-09-11,67
2016-09-18,74
2016-09-25,64
2016-10-02,64
2016-10-09,67
2016-10-16,72
2016-10-23,72
2016-10-30,70
2016-11-06,90
2016-11-13,94
2016-11-20,100
2016-11-27,96
2016-12-04,38
2016-12-11,29
2016-12-18,37
2016-12-25,36
2017-01-01,31
2017-01-08,35
2017-01-15,34
2017-01-22,31
2017-01-29,30
2017-02-05,34
2017-02-12,29
2017-02-19,32
2017-02-26,33
2017-03-05,31
2017-03-12,30
2017-03-19,29
2017-03-26,28
2017-04-02,25
2017-04-09,31
2017-04-16,30
2017-04-23,31
2017-04-30,36
2017-05-07,31
2017-05-14,31
2017-05-21,29
2017-05-28,31
2017-06-04,30
2017-06-11,32
2017-06-18,30
2017-06-25,34
2017-07-02,31
2017-07-09,34
2017-07-16,34
2017-07-23,28
2017-07-30,27
2017-08-06,30
2017-08-13,40
2017-08-20,35
2017-08-27,32
2017-09-03,31
2017-09-10,34
2017-09-17,35
2017-09-24,32
2017-10-01,32
2017-10-08,36
2017-10-15,35
2017-10-22,34
