Category: All categories

Week,Banana pepper: (Worldwide)
2012-10-28,19
2012-11-04,18
2012-11-11,16
2012-11-18,16
2012-11-25,14
2012-12-02,21
2012-12-09,16
2012-12-16,13
2012-12-23,14
2012-12-30,20
2013-01-06,19
2013-01-13,19
2013-01-20,21
2013-01-27,25
2013-02-03,25
2013-02-10,18
2013-02-17,17
2013-02-24,19
2013-03-03,16
2013-03-10,25
2013-03-17,20
2013-03-24,26
2013-03-31,20
2013-04-07,22
2013-04-14,22
2013-04-21,23
2013-04-28,28
2013-05-05,23
2013-05-12,24
2013-05-19,27
2013-05-26,29
2013-06-02,36
2013-06-09,41
2013-06-16,46
2013-06-23,57
2013-06-30,67
2013-07-07,75
2013-07-14,88
2013-07-21,97
2013-07-28,96
2013-08-04,97
2013-08-11,100
2013-08-18,89
2013-08-25,77
2013-09-01,86
2013-09-08,69
2013-09-15,61
2013-09-22,44
2013-09-29,45
2013-10-06,38
2013-10-13,38
2013-10-20,29
2013-10-27,23
2013-11-03,23
2013-11-10,22
2013-11-17,16
2013-11-24,16
2013-12-01,17
2013-12-08,15
2013-12-15,14
2013-12-22,15
2013-12-29,25
2014-01-05,22
2014-01-12,21
2014-01-19,25
2014-01-26,22
2014-02-02,19
2014-02-09,18
2014-02-16,18
2014-02-23,21
2014-03-02,15
2014-03-09,20
2014-03-16,24
2014-03-23,20
2014-03-30,25
2014-04-06,22
2014-04-13,22
2014-04-20,23
2014-04-27,23
2014-05-04,30
2014-05-11,30
2014-05-18,31
2014-05-25,36
2014-06-01,37
2014-06-08,40
2014-06-15,44
2014-06-22,61
2014-06-29,71
2014-07-06,79
2014-07-13,87
2014-07-20,96
2014-07-27,94
2014-08-03,89
2014-08-10,90
2014-08-17,81
2014-08-24,79
2014-08-31,77
2014-09-07,63
2014-09-14,55
2014-09-21,41
2014-09-28,43
2014-10-05,36
2014-10-12,34
2014-10-19,30
2014-10-26,28
2014-11-02,27
2014-11-09,21
2014-11-16,18
2014-11-23,16
2014-11-30,19
2014-12-07,21
2014-12-14,18
2014-12-21,19
2014-12-28,21
2015-01-04,21
2015-01-11,21
2015-01-18,20
2015-01-25,39
2015-02-01,21
2015-02-08,21
2015-02-15,19
2015-02-22,19
2015-03-01,23
2015-03-08,20
2015-03-15,28
2015-03-22,21
2015-03-29,27
2015-04-05,24
2015-04-12,23
2015-04-19,27
2015-04-26,27
2015-05-03,26
2015-05-10,38
2015-05-17,33
2015-05-24,37
2015-05-31,40
2015-06-07,41
2015-06-14,50
2015-06-21,57
2015-06-28,61
2015-07-05,70
2015-07-12,71
2015-07-19,81
2015-07-26,88
2015-08-02,87
2015-08-09,80
2015-08-16,75
2015-08-23,69
2015-08-30,62
2015-09-06,62
2015-09-13,52
2015-09-20,48
2015-09-27,42
2015-10-04,42
2015-10-11,34
2015-10-18,33
2015-10-25,24
2015-11-01,21
2015-11-08,26
2015-11-15,23
2015-11-22,18
2015-11-29,22
2015-12-06,24
2015-12-13,19
2015-12-20,23
2015-12-27,26
2016-01-03,23
2016-01-10,21
2016-01-17,26
2016-01-24,23
2016-01-31,25
2016-02-07,21
2016-02-14,24
2016-02-21,24
2016-02-28,25
2016-03-06,20
2016-03-13,29
2016-03-20,25
2016-03-27,26
2016-04-03,36
2016-04-10,30
2016-04-17,38
2016-04-24,37
2016-05-01,34
2016-05-08,32
2016-05-15,32
2016-05-22,39
2016-05-29,42
2016-06-05,36
2016-06-12,42
2016-06-19,55
2016-06-26,58
2016-07-03,65
2016-07-10,80
2016-07-17,86
2016-07-24,83
2016-07-31,91
2016-08-07,83
2016-08-14,77
2016-08-21,78
2016-08-28,65
2016-09-04,67
2016-09-11,61
2016-09-18,49
2016-09-25,45
2016-10-02,47
2016-10-09,38
2016-10-16,37
2016-10-23,29
2016-10-30,29
2016-11-06,28
2016-11-13,23
2016-11-20,18
2016-11-27,26
2016-12-04,25
2016-12-11,21
2016-12-18,23
2016-12-25,19
2017-01-01,25
2017-01-08,26
2017-01-15,31
2017-01-22,26
2017-01-29,31
2017-02-05,28
2017-02-12,29
2017-02-19,41
2017-02-26,29
2017-03-05,27
2017-03-12,27
2017-03-19,29
2017-03-26,28
2017-04-02,23
2017-04-09,34
2017-04-16,29
2017-04-23,32
2017-04-30,32
2017-05-07,31
2017-05-14,36
2017-05-21,37
2017-05-28,41
2017-06-04,47
2017-06-11,49
2017-06-18,51
2017-06-25,64
2017-07-02,68
2017-07-09,72
2017-07-16,84
2017-07-23,90
2017-07-30,88
2017-08-06,89
2017-08-13,86
2017-08-20,77
2017-08-27,75
2017-09-03,63
2017-09-10,53
2017-09-17,56
2017-09-24,46
2017-10-01,48
2017-10-08,43
2017-10-15,38
2017-10-22,39
