Category: All categories

Country,Bell pepper: (10/26/12 - 10/26/17)
Japan,100
Belgium,87
Netherlands,75
France,70
New Caledonia,50
Sweden,48
Réunion,47
Uruguay,45
Paraguay,41
Taiwan,39
Guadeloupe,39
Portugal,39
French Guiana,38
Martinique,37
French Polynesia,36
Spain,36
Finland,34
Denmark,33
Macau,32
Luxembourg,30
Hong Kong,29
Monaco,28
Puerto Rico,27
Guam,26
Argentina,26
Dominica,26
China,26
Belize,26
Mauritius,25
Andorra,25
Suriname,25
Iran,24
Cayman Islands,24
Canada,23
Jamaica,22
Curaçao,22
Cape Verde,22
United States,21
Haiti,21
Bahamas,21
Mozambique,20
Guyana,20
Aruba,19
Swaziland,19
Congo - Brazzaville,19
U.S. Virgin Islands,19
Bermuda,18
Antigua & Barbuda,18
Maldives,18
Cameroon,18
Grenada,17
Gabon,17
Switzerland,17
Iceland,16
Malta,16
Madagascar,16
Togo,16
Guernsey,16
Dominican Republic,16
Angola,16
Niger,16
Trinidad & Tobago,16
Brazil,15
Benin,15
St. Lucia,15
Barbados,14
Senegal,14
Algeria,13
Romania,13
Chile,13
Uganda,12
Côte d’Ivoire,12
Philippines,12
Cuba,12
Bulgaria,12
Mexico,12
Israel,11
Morocco,11
Bahrain,11
Latvia,10
Ireland,10
Jersey,10
St. Helena,9
Ecuador,9
Ghana,9
Qatar,9
United Arab Emirates,9
Singapore,9
Burkina Faso,9
Saudi Arabia,9
Slovakia,9
United Kingdom,9
Lebanon,9
Oman,8
Tunisia,8
Panama,8
Rwanda,8
Kenya,8
Congo - Kinshasa,8
Zambia,8
Jordan,8
Kuwait,7
Namibia,7
New Zealand,7
Thailand,7
Mali,7
Nigeria,7
Turkey,7
Bolivia,7
Cyprus,7
Botswana,7
Zimbabwe,7
Lesotho,7
Australia,6
Palestine,6
Venezuela,6
Hungary,6
Brunei,6
Guatemala,6
Honduras,6
Costa Rica,6
South Africa,6
Isle of Man,6
Indonesia,6
Tanzania,6
Afghanistan,6
Malawi,6
Cambodia,6
Libya,6
Peru,6
Sri Lanka,5
Czechia,5
Guinea,5
Vietnam,5
Moldova,5
El Salvador,5
Slovenia,4
Norway,4
Nicaragua,4
Malaysia,4
South Korea,4
Colombia,4
Laos,4
India,3
Estonia,3
Myanmar (Burma),3
Croatia,3
Nepal,3
Macedonia (FYROM),3
Egypt,3
Pakistan,3
Lithuania,2
Ethiopia,2
Italy,2
Albania,2
Serbia,2
Kazakhstan,2
Yemen,2
Germany,2
Austria,2
Greece,2
Montenegro,2
Bosnia & Herzegovina,2
Kosovo,2
Azerbaijan,2
Georgia,1
Kyrgyzstan,1
Bangladesh,1
Armenia,1
Iraq,1
Russia,1
Sudan,1
Uzbekistan,1
Ukraine,1
Belarus,1
Poland,1
