Category: All categories

Country,Carolina Reaper: (10/26/12 - 10/26/17)
Denmark,100
United States,93
Norway,82
Sweden,58
Australia,58
Canada,57
Slovenia,55
Slovakia,51
Malta,50
Czechia,49
Italy,47
New Zealand,46
Hungary,45
Iceland,43
United Kingdom,41
Finland,32
Croatia,32
Netherlands,31
South Africa,28
Trinidad & Tobago,28
Austria,27
Singapore,25
Philippines,22
Estonia,22
Poland,22
Cyprus,22
Puerto Rico,20
Serbia,20
Ireland,19
Belgium,19
Germany,18
Luxembourg,17
Switzerland,17
Hong Kong,17
Costa Rica,16
Lebanon,16
St. Helena,16
United Arab Emirates,16
Romania,15
Latvia,15
Portugal,15
Malaysia,14
Kuwait,13
Japan,13
Mexico,13
Lithuania,12
Israel,12
Bosnia & Herzegovina,12
Indonesia,11
Honduras,11
Turkey,11
Brazil,11
Greece,10
El Salvador,10
Bulgaria,9
Taiwan,9
Nicaragua,9
Spain,9
Qatar,9
South Korea,8
France,8
Panama,7
Chile,7
Guatemala,6
Russia,5
Jordan,5
Thailand,5
Argentina,4
Colombia,4
Ukraine,4
Saudi Arabia,4
Pakistan,3
Belarus,3
Peru,3
Kenya,3
India,3
Kazakhstan,2
Vietnam,2
Egypt,2
Ecuador,2
Venezuela,2
Morocco,2
Algeria,2
Iran,2
