Category: All categories

Week,Carolina Reaper: (Worldwide)
2012-10-28,0
2012-11-04,0
2012-11-11,0
2012-11-18,0
2012-11-25,0
2012-12-02,1
2012-12-09,0
2012-12-16,0
2012-12-23,0
2012-12-30,0
2013-01-06,1
2013-01-13,0
2013-01-20,0
2013-01-27,0
2013-02-03,0
2013-02-10,1
2013-02-17,0
2013-02-24,0
2013-03-03,0
2013-03-10,1
2013-03-17,0
2013-03-24,1
2013-03-31,1
2013-04-07,0
2013-04-14,1
2013-04-21,1
2013-04-28,0
2013-05-05,0
2013-05-12,1
2013-05-19,1
2013-05-26,1
2013-06-02,1
2013-06-09,1
2013-06-16,1
2013-06-23,1
2013-06-30,2
2013-07-07,1
2013-07-14,0
2013-07-21,1
2013-07-28,1
2013-08-04,1
2013-08-11,1
2013-08-18,1
2013-08-25,1
2013-09-01,1
2013-09-08,1
2013-09-15,1
2013-09-22,1
2013-09-29,1
2013-10-06,1
2013-10-13,1
2013-10-20,1
2013-10-27,2
2013-11-03,2
2013-11-10,2
2013-11-17,7
2013-11-24,6
2013-12-01,6
2013-12-08,4
2013-12-15,3
2013-12-22,15
2013-12-29,13
2014-01-05,8
2014-01-12,9
2014-01-19,8
2014-01-26,7
2014-02-02,4
2014-02-09,5
2014-02-16,5
2014-02-23,5
2014-03-02,5
2014-03-09,6
2014-03-16,7
2014-03-23,6
2014-03-30,8
2014-04-06,9
2014-04-13,8
2014-04-20,6
2014-04-27,7
2014-05-04,8
2014-05-11,6
2014-05-18,8
2014-05-25,7
2014-06-01,8
2014-06-08,9
2014-06-15,8
2014-06-22,8
2014-06-29,9
2014-07-06,8
2014-07-13,8
2014-07-20,10
2014-07-27,11
2014-08-03,13
2014-08-10,12
2014-08-17,10
2014-08-24,12
2014-08-31,12
2014-09-07,12
2014-09-14,11
2014-09-21,10
2014-09-28,20
2014-10-05,16
2014-10-12,14
2014-10-19,13
2014-10-26,12
2014-11-02,13
2014-11-09,12
2014-11-16,11
2014-11-23,10
2014-11-30,9
2014-12-07,10
2014-12-14,12
2014-12-21,13
2014-12-28,14
2015-01-04,15
2015-01-11,13
2015-01-18,15
2015-01-25,14
2015-02-01,14
2015-02-08,12
2015-02-15,13
2015-02-22,14
2015-03-01,13
2015-03-08,13
2015-03-15,14
2015-03-22,14
2015-03-29,14
2015-04-05,18
2015-04-12,16
2015-04-19,17
2015-04-26,15
2015-05-03,16
2015-05-10,16
2015-05-17,19
2015-05-24,17
2015-05-31,21
2015-06-07,17
2015-06-14,22
2015-06-21,29
2015-06-28,16
2015-07-05,17
2015-07-12,26
2015-07-19,33
2015-07-26,23
2015-08-02,20
2015-08-09,26
2015-08-16,23
2015-08-23,25
2015-08-30,29
2015-09-06,28
2015-09-13,26
2015-09-20,25
2015-09-27,22
2015-10-04,24
2015-10-11,22
2015-10-18,20
2015-10-25,18
2015-11-01,17
2015-11-08,16
2015-11-15,16
2015-11-22,17
2015-11-29,18
2015-12-06,36
2015-12-13,25
2015-12-20,25
2015-12-27,21
2016-01-03,16
2016-01-10,15
2016-01-17,56
2016-01-24,19
2016-01-31,15
2016-02-07,16
2016-02-14,16
2016-02-21,16
2016-02-28,15
2016-03-06,15
2016-03-13,15
2016-03-20,16
2016-03-27,16
2016-04-03,18
2016-04-10,17
2016-04-17,17
2016-04-24,19
2016-05-01,21
2016-05-08,19
2016-05-15,19
2016-05-22,18
2016-05-29,19
2016-06-05,17
2016-06-12,22
2016-06-19,23
2016-06-26,20
2016-07-03,18
2016-07-10,18
2016-07-17,23
2016-07-24,23
2016-07-31,23
2016-08-07,20
2016-08-14,23
2016-08-21,27
2016-08-28,46
2016-09-04,53
2016-09-11,100
2016-09-18,99
2016-09-25,48
2016-10-02,48
2016-10-09,54
2016-10-16,48
2016-10-23,39
2016-10-30,32
2016-11-06,30
2016-11-13,28
2016-11-20,29
2016-11-27,26
2016-12-04,25
2016-12-11,24
2016-12-18,24
2016-12-25,26
2017-01-01,23
2017-01-08,22
2017-01-15,22
2017-01-22,20
2017-01-29,22
2017-02-05,22
2017-02-12,20
2017-02-19,21
2017-02-26,19
2017-03-05,21
2017-03-12,21
2017-03-19,19
2017-03-26,21
2017-04-02,21
2017-04-09,21
2017-04-16,20
2017-04-23,22
2017-04-30,23
2017-05-07,23
2017-05-14,27
2017-05-21,27
2017-05-28,27
2017-06-04,21
2017-06-11,22
2017-06-18,24
2017-06-25,23
2017-07-02,38
2017-07-09,26
2017-07-16,31
2017-07-23,27
2017-07-30,30
2017-08-06,30
2017-08-13,37
2017-08-20,42
2017-08-27,30
2017-09-03,27
2017-09-10,28
2017-09-17,32
2017-09-24,31
2017-10-01,28
2017-10-08,29
2017-10-15,31
2017-10-22,29
