Category: All categories

Country,Cayenne pepper: (10/26/12 - 10/26/17)
French Guiana,100
Swaziland,37
St. Lucia,22
Barbados,18
South Africa,16
St. Barthélemy,15
Lesotho,15
Trinidad & Tobago,13
Jamaica,13
Guyana,11
Botswana,10
Namibia,10
Cayman Islands,8
Fiji,8
Bahamas,8
Zimbabwe,8
Aruba,8
Suriname,8
Martinique,7
Maldives,7
Curaçao,7
Uganda,7
Haiti,6
Ghana,6
Kenya,6
Mauritius,5
United States,5
Canada,5
Zambia,5
Venezuela,5
Lebanon,5
Bahrain,5
Dominican Republic,5
United Arab Emirates,5
Cyprus,4
Puerto Rico,4
Iceland,4
Malta,4
Kuwait,4
Qatar,4
Slovenia,4
Philippines,4
New Zealand,4
Guadeloupe,4
Singapore,4
Panama,4
Australia,3
Nigeria,3
Brunei,3
Greece,3
Ireland,3
United Kingdom,3
Mexico,3
Honduras,3
Costa Rica,3
Guatemala,3
Pakistan,3
Slovakia,3
Oman,2
Cameroon,2
Nepal,2
Spain,2
Malaysia,2
Estonia,2
Norway,2
St. Helena,2
Romania,2
Macedonia (FYROM),2
Colombia,2
Madagascar,2
Nicaragua,2
Ecuador,2
Chile,2
Croatia,2
Albania,2
Paraguay,2
Poland,2
Czechia,2
Netherlands,2
Hungary,2
Finland,2
Ethiopia,2
Hong Kong,2
Portugal,2
Denmark,2
Luxembourg,2
Switzerland,2
Sweden,2
Tunisia,2
Bulgaria,2
Israel,2
El Salvador,2
Uruguay,2
Côte d’Ivoire,2
Bolivia,2
Senegal,2
Austria,1
India,1
Congo - Kinshasa,1
Peru,1
Tanzania,1
Belgium,1
Argentina,1
Saudi Arabia,1
Mayotte,1
Réunion,1
Sri Lanka,1
Latvia,1
Germany,1
Cambodia,1
Brazil,1
Bangladesh,1
Jordan,1
Italy,1
Armenia,1
France,1
Lithuania,1
Morocco,1
Georgia,1
Bosnia & Herzegovina,1
Algeria,1
Serbia,1
Azerbaijan,1
Myanmar (Burma),1
Thailand,1
Moldova,1
Egypt,1
Ukraine,1
Taiwan,1
Japan,0
Russia,0
Turkey,0
China,0
Belarus,0
South Korea,0
Indonesia,0
Kazakhstan,0
Sudan,0
Iran,0
Iraq,0
Vietnam,0
