Category: All categories

Week,Cayenne pepper: (Worldwide)
2012-10-28,62
2012-11-04,64
2012-11-11,63
2012-11-18,67
2012-11-25,64
2012-12-02,63
2012-12-09,63
2012-12-16,61
2012-12-23,70
2012-12-30,76
2013-01-06,77
2013-01-13,89
2013-01-20,83
2013-01-27,79
2013-02-03,87
2013-02-10,77
2013-02-17,79
2013-02-24,77
2013-03-03,78
2013-03-10,83
2013-03-17,73
2013-03-24,79
2013-03-31,78
2013-04-07,77
2013-04-14,79
2013-04-21,77
2013-04-28,82
2013-05-05,81
2013-05-12,73
2013-05-19,72
2013-05-26,72
2013-06-02,76
2013-06-09,79
2013-06-16,73
2013-06-23,76
2013-06-30,72
2013-07-07,82
2013-07-14,81
2013-07-21,84
2013-07-28,83
2013-08-04,77
2013-08-11,81
2013-08-18,82
2013-08-25,77
2013-09-01,75
2013-09-08,77
2013-09-15,74
2013-09-22,76
2013-09-29,71
2013-10-06,67
2013-10-13,72
2013-10-20,70
2013-10-27,73
2013-11-03,71
2013-11-10,73
2013-11-17,74
2013-11-24,68
2013-12-01,68
2013-12-08,68
2013-12-15,64
2013-12-22,72
2013-12-29,85
2014-01-05,86
2014-01-12,86
2014-01-19,83
2014-01-26,81
2014-02-02,81
2014-02-09,73
2014-02-16,72
2014-02-23,78
2014-03-02,83
2014-03-09,74
2014-03-16,76
2014-03-23,77
2014-03-30,73
2014-04-06,72
2014-04-13,78
2014-04-20,85
2014-04-27,81
2014-05-04,78
2014-05-11,73
2014-05-18,78
2014-05-25,75
2014-06-01,75
2014-06-08,75
2014-06-15,76
2014-06-22,74
2014-06-29,74
2014-07-06,78
2014-07-13,79
2014-07-20,81
2014-07-27,81
2014-08-03,91
2014-08-10,79
2014-08-17,79
2014-08-24,77
2014-08-31,76
2014-09-07,75
2014-09-14,72
2014-09-21,70
2014-09-28,72
2014-10-05,70
2014-10-12,70
2014-10-19,73
2014-10-26,68
2014-11-02,71
2014-11-09,69
2014-11-16,70
2014-11-23,67
2014-11-30,67
2014-12-07,70
2014-12-14,66
2014-12-21,70
2014-12-28,80
2015-01-04,86
2015-01-11,81
2015-01-18,80
2015-01-25,82
2015-02-01,81
2015-02-08,79
2015-02-15,78
2015-02-22,83
2015-03-01,81
2015-03-08,80
2015-03-15,80
2015-03-22,85
2015-03-29,81
2015-04-05,81
2015-04-12,77
2015-04-19,75
2015-04-26,74
2015-05-03,76
2015-05-10,76
2015-05-17,76
2015-05-24,78
2015-05-31,81
2015-06-07,83
2015-06-14,75
2015-06-21,77
2015-06-28,76
2015-07-05,82
2015-07-12,78
2015-07-19,76
2015-07-26,81
2015-08-02,79
2015-08-09,83
2015-08-16,78
2015-08-23,80
2015-08-30,75
2015-09-06,75
2015-09-13,73
2015-09-20,75
2015-09-27,75
2015-10-04,77
2015-10-11,73
2015-10-18,74
2015-10-25,75
2015-11-01,73
2015-11-08,74
2015-11-15,71
2015-11-22,74
2015-11-29,71
2015-12-06,67
2015-12-13,72
2015-12-20,80
2015-12-27,90
2016-01-03,89
2016-01-10,95
2016-01-17,91
2016-01-24,87
2016-01-31,84
2016-02-07,89
2016-02-14,85
2016-02-21,85
2016-02-28,81
2016-03-06,83
2016-03-13,79
2016-03-20,79
2016-03-27,80
2016-04-03,83
2016-04-10,83
2016-04-17,80
2016-04-24,83
2016-05-01,80
2016-05-08,76
2016-05-15,78
2016-05-22,78
2016-05-29,79
2016-06-05,80
2016-06-12,76
2016-06-19,75
2016-06-26,83
2016-07-03,78
2016-07-10,78
2016-07-17,79
2016-07-24,81
2016-07-31,83
2016-08-07,78
2016-08-14,74
2016-08-21,78
2016-08-28,75
2016-09-04,76
2016-09-11,79
2016-09-18,76
2016-09-25,72
2016-10-02,80
2016-10-09,79
2016-10-16,75
2016-10-23,71
2016-10-30,70
2016-11-06,70
2016-11-13,72
2016-11-20,75
2016-11-27,69
2016-12-04,66
2016-12-11,67
2016-12-18,74
2016-12-25,78
2017-01-01,88
2017-01-08,93
2017-01-15,91
2017-01-22,86
2017-01-29,88
2017-02-05,84
2017-02-12,78
2017-02-19,86
2017-02-26,82
2017-03-05,80
2017-03-12,81
2017-03-19,79
2017-03-26,86
2017-04-02,80
2017-04-09,80
2017-04-16,81
2017-04-23,82
2017-04-30,78
2017-05-07,79
2017-05-14,79
2017-05-21,78
2017-05-28,100
2017-06-04,78
2017-06-11,78
2017-06-18,80
2017-06-25,77
2017-07-02,78
2017-07-09,82
2017-07-16,79
2017-07-23,77
2017-07-30,79
2017-08-06,77
2017-08-13,79
2017-08-20,74
2017-08-27,77
2017-09-03,75
2017-09-10,81
2017-09-17,76
2017-09-24,75
2017-10-01,72
2017-10-08,76
2017-10-15,74
2017-10-22,74
