Category: All categories

Week,Friggitello: (Worldwide)
2012-10-28,18
2012-11-04,27
2012-11-11,20
2012-11-18,16
2012-11-25,13
2012-12-02,18
2012-12-09,9
2012-12-16,9
2012-12-23,14
2012-12-30,10
2013-01-06,13
2013-01-13,12
2013-01-20,12
2013-01-27,14
2013-02-03,10
2013-02-10,15
2013-02-17,12
2013-02-24,18
2013-03-03,17
2013-03-10,20
2013-03-17,20
2013-03-24,26
2013-03-31,22
2013-04-07,25
2013-04-14,27
2013-04-21,31
2013-04-28,30
2013-05-05,33
2013-05-12,41
2013-05-19,52
2013-05-26,44
2013-06-02,40
2013-06-09,40
2013-06-16,45
2013-06-23,51
2013-06-30,68
2013-07-07,53
2013-07-14,63
2013-07-21,71
2013-07-28,62
2013-08-04,60
2013-08-11,63
2013-08-18,80
2013-08-25,61
2013-09-01,79
2013-09-08,75
2013-09-15,57
2013-09-22,56
2013-09-29,50
2013-10-06,50
2013-10-13,50
2013-10-20,41
2013-10-27,32
2013-11-03,34
2013-11-10,28
2013-11-17,14
2013-11-24,16
2013-12-01,17
2013-12-08,13
2013-12-15,11
2013-12-22,13
2013-12-29,15
2014-01-05,17
2014-01-12,14
2014-01-19,12
2014-01-26,18
2014-02-02,15
2014-02-09,14
2014-02-16,18
2014-02-23,17
2014-03-02,21
2014-03-09,24
2014-03-16,20
2014-03-23,27
2014-03-30,25
2014-04-06,30
2014-04-13,33
2014-04-20,25
2014-04-27,45
2014-05-04,54
2014-05-11,41
2014-05-18,39
2014-05-25,53
2014-06-01,46
2014-06-08,46
2014-06-15,52
2014-06-22,53
2014-06-29,66
2014-07-06,76
2014-07-13,73
2014-07-20,76
2014-07-27,89
2014-08-03,87
2014-08-10,82
2014-08-17,73
2014-08-24,84
2014-08-31,73
2014-09-07,68
2014-09-14,56
2014-09-21,50
2014-09-28,50
2014-10-05,52
2014-10-12,38
2014-10-19,45
2014-10-26,29
2014-11-02,31
2014-11-09,28
2014-11-16,21
2014-11-23,18
2014-11-30,18
2014-12-07,11
2014-12-14,15
2014-12-21,10
2014-12-28,16
2015-01-04,13
2015-01-11,11
2015-01-18,18
2015-01-25,9
2015-02-01,13
2015-02-08,18
2015-02-15,14
2015-02-22,24
2015-03-01,18
2015-03-08,17
2015-03-15,18
2015-03-22,19
2015-03-29,12
2015-04-05,19
2015-04-12,22
2015-04-19,31
2015-04-26,27
2015-05-03,27
2015-05-10,30
2015-05-17,41
2015-05-24,41
2015-05-31,41
2015-06-07,46
2015-06-14,55
2015-06-21,57
2015-06-28,55
2015-07-05,70
2015-07-12,68
2015-07-19,72
2015-07-26,90
2015-08-02,86
2015-08-09,56
2015-08-16,76
2015-08-23,73
2015-08-30,69
2015-09-06,66
2015-09-13,75
2015-09-20,54
2015-09-27,44
2015-10-04,49
2015-10-11,47
2015-10-18,38
2015-10-25,33
2015-11-01,30
2015-11-08,32
2015-11-15,26
2015-11-22,18
2015-11-29,16
2015-12-06,18
2015-12-13,13
2015-12-20,12
2015-12-27,10
2016-01-03,17
2016-01-10,17
2016-01-17,17
2016-01-24,15
2016-01-31,15
2016-02-07,15
2016-02-14,11
2016-02-21,20
2016-02-28,24
2016-03-06,22
2016-03-13,24
2016-03-20,31
2016-03-27,21
2016-04-03,20
2016-04-10,24
2016-04-17,30
2016-04-24,39
2016-05-01,39
2016-05-08,39
2016-05-15,42
2016-05-22,50
2016-05-29,39
2016-06-05,40
2016-06-12,44
2016-06-19,46
2016-06-26,52
2016-07-03,65
2016-07-10,67
2016-07-17,77
2016-07-24,84
2016-07-31,100
2016-08-07,78
2016-08-14,72
2016-08-21,77
2016-08-28,79
2016-09-04,66
2016-09-11,69
2016-09-18,66
2016-09-25,56
2016-10-02,47
2016-10-09,44
2016-10-16,32
2016-10-23,36
2016-10-30,25
2016-11-06,26
2016-11-13,24
2016-11-20,29
2016-11-27,14
2016-12-04,13
2016-12-11,17
2016-12-18,14
2016-12-25,7
2017-01-01,16
2017-01-08,17
2017-01-15,17
2017-01-22,17
2017-01-29,23
2017-02-05,19
2017-02-12,21
2017-02-19,18
2017-02-26,22
2017-03-05,15
2017-03-12,23
2017-03-19,31
2017-03-26,21
2017-04-02,32
2017-04-09,32
2017-04-16,29
2017-04-23,38
2017-04-30,34
2017-05-07,41
2017-05-14,54
2017-05-21,38
2017-05-28,45
2017-06-04,57
2017-06-11,48
2017-06-18,57
2017-06-25,50
2017-07-02,79
2017-07-09,97
2017-07-16,91
2017-07-23,95
2017-07-30,92
2017-08-06,97
2017-08-13,83
2017-08-20,90
2017-08-27,95
2017-09-03,71
2017-09-10,82
2017-09-17,62
2017-09-24,65
2017-10-01,48
2017-10-08,53
2017-10-15,50
2017-10-22,31
