Category: All categories

Country,Bhut jolokia: (10/26/12 - 10/26/17)
United States,100
Canada,72
Denmark,58
Sweden,51
United Kingdom,50
Malta,50
Norway,48
Australia,48
Czechia,47
New Zealand,45
Finland,43
Slovenia,43
Slovakia,42
Singapore,38
Hungary,37
Iceland,32
Croatia,30
Estonia,30
Austria,30
Brunei,28
Ireland,27
South Africa,26
Philippines,25
Mauritius,25
Puerto Rico,22
Germany,22
United Arab Emirates,22
Netherlands,21
Serbia,21
Japan,21
Italy,20
Bahrain,19
Malaysia,19
St. Helena,19
Switzerland,18
India,16
Bosnia & Herzegovina,16
Hong Kong,15
Lebanon,15
Luxembourg,13
Poland,13
Costa Rica,13
Indonesia,13
Portugal,12
Brazil,12
Cyprus,12
Qatar,12
Kosovo,12
Latvia,11
Belgium,11
Romania,10
Mexico,10
Honduras,10
Lithuania,10
Panama,10
Israel,9
Bangladesh,9
Kuwait,9
Spain,8
South Korea,8
Greece,8
Macedonia (FYROM),8
Bulgaria,8
Paraguay,7
Pakistan,7
Cambodia,7
Oman,7
El Salvador,7
Jordan,6
France,6
Dominican Republic,6
Uruguay,6
Taiwan,6
Chile,6
Guatemala,5
Turkey,5
China,5
Sri Lanka,4
Colombia,4
Venezuela,4
Bolivia,4
Argentina,4
Morocco,4
Saudi Arabia,4
Russia,3
Nigeria,3
Thailand,3
Peru,3
Vietnam,3
Ecuador,3
Tunisia,3
Ukraine,2
Iran,2
Belarus,2
Egypt,2
Algeria,2
Kazakhstan,1
