Category: All categories

Week,Guajillo chili: (Worldwide)
2012-10-28,31
2012-11-04,38
2012-11-11,41
2012-11-18,38
2012-11-25,37
2012-12-02,32
2012-12-09,35
2012-12-16,40
2012-12-23,66
2012-12-30,48
2013-01-06,46
2013-01-13,36
2013-01-20,40
2013-01-27,49
2013-02-03,33
2013-02-10,40
2013-02-17,43
2013-02-24,42
2013-03-03,43
2013-03-10,40
2013-03-17,43
2013-03-24,41
2013-03-31,42
2013-04-07,45
2013-04-14,45
2013-04-21,41
2013-04-28,42
2013-05-05,43
2013-05-12,42
2013-05-19,35
2013-05-26,43
2013-06-02,43
2013-06-09,36
2013-06-16,41
2013-06-23,41
2013-06-30,34
2013-07-07,39
2013-07-14,44
2013-07-21,31
2013-07-28,40
2013-08-04,39
2013-08-11,41
2013-08-18,45
2013-08-25,40
2013-09-01,45
2013-09-08,45
2013-09-15,48
2013-09-22,41
2013-09-29,48
2013-10-06,42
2013-10-13,41
2013-10-20,46
2013-10-27,41
2013-11-03,46
2013-11-10,49
2013-11-17,43
2013-11-24,37
2013-12-01,42
2013-12-08,44
2013-12-15,48
2013-12-22,70
2013-12-29,65
2014-01-05,45
2014-01-12,45
2014-01-19,52
2014-01-26,47
2014-02-02,49
2014-02-09,46
2014-02-16,40
2014-02-23,45
2014-03-02,40
2014-03-09,53
2014-03-16,44
2014-03-23,44
2014-03-30,48
2014-04-06,44
2014-04-13,44
2014-04-20,51
2014-04-27,47
2014-05-04,46
2014-05-11,42
2014-05-18,36
2014-05-25,50
2014-06-01,46
2014-06-08,43
2014-06-15,48
2014-06-22,43
2014-06-29,39
2014-07-06,45
2014-07-13,42
2014-07-20,45
2014-07-27,50
2014-08-03,47
2014-08-10,40
2014-08-17,52
2014-08-24,53
2014-08-31,53
2014-09-07,50
2014-09-14,57
2014-09-21,48
2014-09-28,43
2014-10-05,48
2014-10-12,53
2014-10-19,53
2014-10-26,53
2014-11-02,53
2014-11-09,47
2014-11-16,47
2014-11-23,46
2014-11-30,54
2014-12-07,40
2014-12-14,50
2014-12-21,76
2014-12-28,81
2015-01-04,57
2015-01-11,51
2015-01-18,56
2015-01-25,64
2015-02-01,51
2015-02-08,53
2015-02-15,59
2015-02-22,51
2015-03-01,53
2015-03-08,54
2015-03-15,50
2015-03-22,46
2015-03-29,52
2015-04-05,57
2015-04-12,53
2015-04-19,54
2015-04-26,51
2015-05-03,60
2015-05-10,50
2015-05-17,50
2015-05-24,54
2015-05-31,61
2015-06-07,47
2015-06-14,52
2015-06-21,52
2015-06-28,49
2015-07-05,51
2015-07-12,53
2015-07-19,53
2015-07-26,53
2015-08-02,52
2015-08-09,54
2015-08-16,50
2015-08-23,58
2015-08-30,58
2015-09-06,57
2015-09-13,73
2015-09-20,57
2015-09-27,55
2015-10-04,61
2015-10-11,62
2015-10-18,61
2015-10-25,58
2015-11-01,64
2015-11-08,59
2015-11-15,60
2015-11-22,55
2015-11-29,57
2015-12-06,58
2015-12-13,58
2015-12-20,100
2015-12-27,95
2016-01-03,59
2016-01-10,69
2016-01-17,68
2016-01-24,46
2016-01-31,54
2016-02-07,61
2016-02-14,52
2016-02-21,58
2016-02-28,56
2016-03-06,56
2016-03-13,53
2016-03-20,65
2016-03-27,59
2016-04-03,57
2016-04-10,65
2016-04-17,57
2016-04-24,53
2016-05-01,65
2016-05-08,49
2016-05-15,58
2016-05-22,47
2016-05-29,56
2016-06-05,51
2016-06-12,49
2016-06-19,51
2016-06-26,57
2016-07-03,51
2016-07-10,53
2016-07-17,51
2016-07-24,55
2016-07-31,55
2016-08-07,55
2016-08-14,58
2016-08-21,45
2016-08-28,62
2016-09-04,56
2016-09-11,73
2016-09-18,56
2016-09-25,69
2016-10-02,62
2016-10-09,57
2016-10-16,75
2016-10-23,66
2016-10-30,68
2016-11-06,61
2016-11-13,67
2016-11-20,66
2016-11-27,57
2016-12-04,58
2016-12-11,66
2016-12-18,97
2016-12-25,85
2017-01-01,71
2017-01-08,72
2017-01-15,75
2017-01-22,69
2017-01-29,71
2017-02-05,67
2017-02-12,60
2017-02-19,56
2017-02-26,63
2017-03-05,68
2017-03-12,66
2017-03-19,68
2017-03-26,65
2017-04-02,61
2017-04-09,62
2017-04-16,66
2017-04-23,65
2017-04-30,72
2017-05-07,57
2017-05-14,61
2017-05-21,62
2017-05-28,66
2017-06-04,66
2017-06-11,71
2017-06-18,64
2017-06-25,67
2017-07-02,64
2017-07-09,56
2017-07-16,60
2017-07-23,71
2017-07-30,69
2017-08-06,74
2017-08-13,73
2017-08-20,64
2017-08-27,63
2017-09-03,74
2017-09-10,72
2017-09-17,63
2017-09-24,67
2017-10-01,64
2017-10-08,73
2017-10-15,83
2017-10-22,72
