Category: All categories

Week,Habanero: (Worldwide)
2012-10-28,58
2012-11-04,53
2012-11-11,57
2012-11-18,52
2012-11-25,49
2012-12-02,53
2012-12-09,51
2012-12-16,51
2012-12-23,52
2012-12-30,58
2013-01-06,58
2013-01-13,51
2013-01-20,53
2013-01-27,59
2013-02-03,59
2013-02-10,54
2013-02-17,51
2013-02-24,62
2013-03-03,62
2013-03-10,58
2013-03-17,57
2013-03-24,58
2013-03-31,58
2013-04-07,62
2013-04-14,59
2013-04-21,63
2013-04-28,65
2013-05-05,62
2013-05-12,61
2013-05-19,62
2013-05-26,70
2013-06-02,69
2013-06-09,68
2013-06-16,78
2013-06-23,89
2013-06-30,81
2013-07-07,83
2013-07-14,92
2013-07-21,88
2013-07-28,84
2013-08-04,89
2013-08-11,92
2013-08-18,92
2013-08-25,88
2013-09-01,91
2013-09-08,89
2013-09-15,82
2013-09-22,87
2013-09-29,78
2013-10-06,86
2013-10-13,86
2013-10-20,83
2013-10-27,74
2013-11-03,72
2013-11-10,66
2013-11-17,64
2013-11-24,56
2013-12-01,53
2013-12-08,57
2013-12-15,60
2013-12-22,66
2013-12-29,62
2014-01-05,64
2014-01-12,65
2014-01-19,63
2014-01-26,67
2014-02-02,65
2014-02-09,62
2014-02-16,64
2014-02-23,66
2014-03-02,64
2014-03-09,64
2014-03-16,67
2014-03-23,65
2014-03-30,63
2014-04-06,82
2014-04-13,90
2014-04-20,68
2014-04-27,66
2014-05-04,72
2014-05-11,69
2014-05-18,71
2014-05-25,70
2014-06-01,63
2014-06-08,69
2014-06-15,69
2014-06-22,69
2014-06-29,72
2014-07-06,80
2014-07-13,84
2014-07-20,84
2014-07-27,85
2014-08-03,87
2014-08-10,89
2014-08-17,94
2014-08-24,96
2014-08-31,91
2014-09-07,94
2014-09-14,88
2014-09-21,87
2014-09-28,81
2014-10-05,76
2014-10-12,76
2014-10-19,72
2014-10-26,67
2014-11-02,68
2014-11-09,64
2014-11-16,61
2014-11-23,60
2014-11-30,58
2014-12-07,56
2014-12-14,56
2014-12-21,61
2014-12-28,65
2015-01-04,57
2015-01-11,62
2015-01-18,63
2015-01-25,63
2015-02-01,57
2015-02-08,56
2015-02-15,60
2015-02-22,65
2015-03-01,69
2015-03-08,93
2015-03-15,63
2015-03-22,66
2015-03-29,64
2015-04-05,75
2015-04-12,68
2015-04-19,73
2015-04-26,77
2015-05-03,74
2015-05-10,71
2015-05-17,75
2015-05-24,74
2015-05-31,74
2015-06-07,72
2015-06-14,78
2015-06-21,75
2015-06-28,80
2015-07-05,75
2015-07-12,81
2015-07-19,85
2015-07-26,96
2015-08-02,85
2015-08-09,96
2015-08-16,91
2015-08-23,92
2015-08-30,93
2015-09-06,93
2015-09-13,86
2015-09-20,88
2015-09-27,85
2015-10-04,85
2015-10-11,81
2015-10-18,77
2015-10-25,77
2015-11-01,71
2015-11-08,68
2015-11-15,64
2015-11-22,58
2015-11-29,57
2015-12-06,64
2015-12-13,60
2015-12-20,65
2015-12-27,68
2016-01-03,58
2016-01-10,63
2016-01-17,69
2016-01-24,61
2016-01-31,65
2016-02-07,69
2016-02-14,62
2016-02-21,63
2016-02-28,61
2016-03-06,62
2016-03-13,68
2016-03-20,69
2016-03-27,64
2016-04-03,68
2016-04-10,68
2016-04-17,73
2016-04-24,69
2016-05-01,77
2016-05-08,75
2016-05-15,72
2016-05-22,77
2016-05-29,73
2016-06-05,74
2016-06-12,68
2016-06-19,71
2016-06-26,74
2016-07-03,76
2016-07-10,71
2016-07-17,76
2016-07-24,83
2016-07-31,85
2016-08-07,81
2016-08-14,82
2016-08-21,91
2016-08-28,87
2016-09-04,95
2016-09-11,95
2016-09-18,88
2016-09-25,83
2016-10-02,84
2016-10-09,83
2016-10-16,74
2016-10-23,73
2016-10-30,69
2016-11-06,64
2016-11-13,69
2016-11-20,64
2016-11-27,61
2016-12-04,60
2016-12-11,58
2016-12-18,64
2016-12-25,65
2017-01-01,71
2017-01-08,65
2017-01-15,70
2017-01-22,65
2017-01-29,65
2017-02-05,65
2017-02-12,67
2017-02-19,66
2017-02-26,65
2017-03-05,67
2017-03-12,67
2017-03-19,65
2017-03-26,73
2017-04-02,74
2017-04-09,77
2017-04-16,71
2017-04-23,70
2017-04-30,82
2017-05-07,75
2017-05-14,72
2017-05-21,72
2017-05-28,76
2017-06-04,71
2017-06-11,81
2017-06-18,74
2017-06-25,79
2017-07-02,80
2017-07-09,80
2017-07-16,87
2017-07-23,86
2017-07-30,84
2017-08-06,87
2017-08-13,94
2017-08-20,95
2017-08-27,93
2017-09-03,100
2017-09-10,90
2017-09-17,91
2017-09-24,86
2017-10-01,88
2017-10-08,85
2017-10-15,80
2017-10-22,88
