Category: All categories

Country,Jalapeño: (10/26/12 - 10/26/17)
Belize,100
United States,95
Nicaragua,95
Canada,55
Guam,47
Honduras,40
Bahamas,34
Cayman Islands,30
El Salvador,28
Malta,27
Barbados,27
Mexico,26
Trinidad & Tobago,26
Australia,25
Guatemala,25
Bahrain,25
Maldives,24
Sweden,24
South Africa,24
Iceland,23
Finland,23
New Zealand,22
Costa Rica,21
Denmark,21
Hungary,20
Puerto Rico,19
Czechia,19
Singapore,18
Estonia,18
United Kingdom,18
Norway,17
United Arab Emirates,17
Brunei,17
Kuwait,15
Philippines,15
Mauritius,15
Qatar,15
Ireland,15
Netherlands,14
Austria,13
Germany,13
Belgium,13
Lebanon,13
Poland,12
Pakistan,12
Slovenia,12
Slovakia,12
Latvia,12
Switzerland,12
Luxembourg,12
Jamaica,12
Hong Kong,11
Panama,10
Spain,10
Oman,10
Lithuania,9
Malaysia,9
St. Helena,9
Italy,9
Cyprus,9
Colombia,8
South Korea,8
India,8
Argentina,8
Israel,7
Croatia,7
Dominican Republic,7
Saudi Arabia,7
Russia,6
Paraguay,6
Romania,6
Ecuador,6
Belarus,6
Japan,6
Portugal,6
Nepal,6
Chile,6
Sri Lanka,6
Jordan,5
Kenya,5
Uruguay,5
Taiwan,5
Turkey,5
Bolivia,5
Macedonia (FYROM),5
Bulgaria,4
Peru,4
Kazakhstan,4
Greece,4
France,4
Serbia,4
Bangladesh,4
Armenia,4
Ukraine,4
Venezuela,4
Brazil,4
Bosnia & Herzegovina,4
Ghana,3
Albania,3
Cambodia,3
Sudan,3
Indonesia,3
China,2
Georgia,2
Egypt,2
Thailand,2
Iran,2
Nigeria,2
Azerbaijan,2
Morocco,2
Tunisia,1
Iraq,1
Vietnam,1
Algeria,1
