Category: All categories

Week,Jalapeño: (Worldwide)
2012-10-28,55
2012-11-04,54
2012-11-11,58
2012-11-18,71
2012-11-25,48
2012-12-02,54
2012-12-09,55
2012-12-16,59
2012-12-23,69
2012-12-30,77
2013-01-06,58
2013-01-13,54
2013-01-20,58
2013-01-27,72
2013-02-03,76
2013-02-10,53
2013-02-17,55
2013-02-24,51
2013-03-03,52
2013-03-10,51
2013-03-17,52
2013-03-24,57
2013-03-31,57
2013-04-07,57
2013-04-14,57
2013-04-21,57
2013-04-28,64
2013-05-05,62
2013-05-12,56
2013-05-19,57
2013-05-26,62
2013-06-02,62
2013-06-09,66
2013-06-16,66
2013-06-23,66
2013-06-30,83
2013-07-07,71
2013-07-14,77
2013-07-21,79
2013-07-28,80
2013-08-04,84
2013-08-11,90
2013-08-18,85
2013-08-25,85
2013-09-01,89
2013-09-08,83
2013-09-15,75
2013-09-22,73
2013-09-29,68
2013-10-06,65
2013-10-13,67
2013-10-20,63
2013-10-27,64
2013-11-03,60
2013-11-10,60
2013-11-17,61
2013-11-24,77
2013-12-01,53
2013-12-08,59
2013-12-15,64
2013-12-22,81
2013-12-29,83
2014-01-05,62
2014-01-12,61
2014-01-19,64
2014-01-26,82
2014-02-02,90
2014-02-09,55
2014-02-16,56
2014-02-23,59
2014-03-02,58
2014-03-09,54
2014-03-16,54
2014-03-23,59
2014-03-30,55
2014-04-06,57
2014-04-13,57
2014-04-20,57
2014-04-27,63
2014-05-04,62
2014-05-11,59
2014-05-18,61
2014-05-25,63
2014-06-01,61
2014-06-08,62
2014-06-15,65
2014-06-22,69
2014-06-29,85
2014-07-06,74
2014-07-13,78
2014-07-20,82
2014-07-27,86
2014-08-03,94
2014-08-10,91
2014-08-17,90
2014-08-24,90
2014-08-31,88
2014-09-07,80
2014-09-14,75
2014-09-21,72
2014-09-28,71
2014-10-05,69
2014-10-12,62
2014-10-19,61
2014-10-26,63
2014-11-02,60
2014-11-09,60
2014-11-16,62
2014-11-23,76
2014-11-30,53
2014-12-07,57
2014-12-14,64
2014-12-21,81
2014-12-28,83
2015-01-04,59
2015-01-11,60
2015-01-18,60
2015-01-25,76
2015-02-01,86
2015-02-08,59
2015-02-15,60
2015-02-22,59
2015-03-01,57
2015-03-08,56
2015-03-15,56
2015-03-22,56
2015-03-29,63
2015-04-05,62
2015-04-12,62
2015-04-19,63
2015-04-26,66
2015-05-03,69
2015-05-10,67
2015-05-17,72
2015-05-24,75
2015-05-31,70
2015-06-07,70
2015-06-14,70
2015-06-21,71
2015-06-28,88
2015-07-05,76
2015-07-12,78
2015-07-19,83
2015-07-26,83
2015-08-02,86
2015-08-09,89
2015-08-16,86
2015-08-23,85
2015-08-30,87
2015-09-06,92
2015-09-13,83
2015-09-20,75
2015-09-27,73
2015-10-04,78
2015-10-11,73
2015-10-18,69
2015-10-25,70
2015-11-01,68
2015-11-08,66
2015-11-15,66
2015-11-22,80
2015-11-29,57
2015-12-06,66
2015-12-13,67
2015-12-20,90
2015-12-27,92
2016-01-03,66
2016-01-10,65
2016-01-17,71
2016-01-24,65
2016-01-31,79
2016-02-07,92
2016-02-14,60
2016-02-21,60
2016-02-28,59
2016-03-06,60
2016-03-13,62
2016-03-20,67
2016-03-27,64
2016-04-03,65
2016-04-10,68
2016-04-17,71
2016-04-24,71
2016-05-01,77
2016-05-08,71
2016-05-15,69
2016-05-22,72
2016-05-29,76
2016-06-05,72
2016-06-12,73
2016-06-19,76
2016-06-26,80
2016-07-03,89
2016-07-10,78
2016-07-17,85
2016-07-24,87
2016-07-31,89
2016-08-07,85
2016-08-14,87
2016-08-21,88
2016-08-28,94
2016-09-04,93
2016-09-11,86
2016-09-18,84
2016-09-25,79
2016-10-02,75
2016-10-09,77
2016-10-16,73
2016-10-23,73
2016-10-30,70
2016-11-06,67
2016-11-13,72
2016-11-20,90
2016-11-27,61
2016-12-04,66
2016-12-11,72
2016-12-18,88
2016-12-25,87
2017-01-01,78
2017-01-08,72
2017-01-15,71
2017-01-22,71
2017-01-29,86
2017-02-05,100
2017-02-12,68
2017-02-19,69
2017-02-26,70
2017-03-05,67
2017-03-12,68
2017-03-19,67
2017-03-26,68
2017-04-02,66
2017-04-09,76
2017-04-16,68
2017-04-23,81
2017-04-30,83
2017-05-07,72
2017-05-14,74
2017-05-21,76
2017-05-28,81
2017-06-04,79
2017-06-11,82
2017-06-18,85
2017-06-25,83
2017-07-02,98
2017-07-09,87
2017-07-16,92
2017-07-23,89
2017-07-30,91
2017-08-06,94
2017-08-13,95
2017-08-20,99
2017-08-27,97
2017-09-03,98
2017-09-10,89
2017-09-17,87
2017-09-24,86
2017-10-01,83
2017-10-08,85
2017-10-15,82
2017-10-22,87
