Category: All categories

Week,Lemon drop pepper: (Worldwide)
2012-10-28,34
2012-11-04,21
2012-11-11,25
2012-11-18,21
2012-11-25,16
2012-12-02,16
2012-12-09,16
2012-12-16,25
2012-12-23,14
2012-12-30,57
2013-01-06,47
2013-01-13,23
2013-01-20,15
2013-01-27,49
2013-02-03,38
2013-02-10,23
2013-02-17,45
2013-02-24,19
2013-03-03,19
2013-03-10,41
2013-03-17,37
2013-03-24,19
2013-03-31,41
2013-04-07,30
2013-04-14,30
2013-04-21,45
2013-04-28,27
2013-05-05,34
2013-05-12,33
2013-05-19,44
2013-05-26,55
2013-06-02,41
2013-06-09,33
2013-06-16,22
2013-06-23,37
2013-06-30,23
2013-07-07,42
2013-07-14,38
2013-07-21,45
2013-07-28,34
2013-08-04,31
2013-08-11,57
2013-08-18,45
2013-08-25,40
2013-09-01,47
2013-09-08,56
2013-09-15,28
2013-09-22,39
2013-09-29,28
2013-10-06,39
2013-10-13,46
2013-10-20,62
2013-10-27,24
2013-11-03,31
2013-11-10,38
2013-11-17,34
2013-11-24,27
2013-12-01,27
2013-12-08,20
2013-12-15,25
2013-12-22,15
2013-12-29,36
2014-01-05,33
2014-01-12,23
2014-01-19,48
2014-01-26,19
2014-02-02,41
2014-02-09,35
2014-02-16,45
2014-02-23,48
2014-03-02,33
2014-03-09,29
2014-03-16,19
2014-03-23,51
2014-03-30,29
2014-04-06,46
2014-04-13,57
2014-04-20,60
2014-04-27,62
2014-05-04,45
2014-05-11,32
2014-05-18,38
2014-05-25,39
2014-06-01,22
2014-06-08,22
2014-06-15,33
2014-06-22,22
2014-06-29,22
2014-07-06,55
2014-07-13,55
2014-07-20,63
2014-07-27,85
2014-08-03,39
2014-08-10,51
2014-08-17,79
2014-08-24,89
2014-08-31,59
2014-09-07,58
2014-09-14,65
2014-09-21,61
2014-09-28,34
2014-10-05,64
2014-10-12,47
2014-10-19,74
2014-10-26,50
2014-11-02,30
2014-11-09,39
2014-11-16,40
2014-11-23,45
2014-11-30,29
2014-12-07,16
2014-12-14,40
2014-12-21,29
2014-12-28,32
2015-01-04,35
2015-01-11,44
2015-01-18,40
2015-01-25,58
2015-02-01,18
2015-02-08,37
2015-02-15,41
2015-02-22,68
2015-03-01,46
2015-03-08,33
2015-03-15,27
2015-03-22,23
2015-03-29,54
2015-04-05,54
2015-04-12,55
2015-04-19,55
2015-04-26,47
2015-05-03,56
2015-05-10,68
2015-05-17,82
2015-05-24,49
2015-05-31,65
2015-06-07,49
2015-06-14,49
2015-06-21,56
2015-06-28,53
2015-07-05,77
2015-07-12,59
2015-07-19,60
2015-07-26,40
2015-08-02,53
2015-08-09,89
2015-08-16,76
2015-08-23,88
2015-08-30,75
2015-09-06,47
2015-09-13,44
2015-09-20,76
2015-09-27,55
2015-10-04,61
2015-10-11,29
2015-10-18,39
2015-10-25,51
2015-11-01,48
2015-11-08,34
2015-11-15,37
2015-11-22,23
2015-11-29,25
2015-12-06,29
2015-12-13,20
2015-12-20,35
2015-12-27,13
2016-01-03,46
2016-01-10,35
2016-01-17,36
2016-01-24,33
2016-01-31,36
2016-02-07,21
2016-02-14,38
2016-02-21,41
2016-02-28,37
2016-03-06,38
2016-03-13,56
2016-03-20,27
2016-03-27,39
2016-04-03,77
2016-04-10,36
2016-04-17,39
2016-04-24,53
2016-05-01,51
2016-05-08,51
2016-05-15,65
2016-05-22,42
2016-05-29,36
2016-06-05,60
2016-06-12,36
2016-06-19,76
2016-06-26,37
2016-07-03,32
2016-07-10,25
2016-07-17,45
2016-07-24,48
2016-07-31,32
2016-08-07,72
2016-08-14,67
2016-08-21,55
2016-08-28,78
2016-09-04,50
2016-09-11,53
2016-09-18,70
2016-09-25,75
2016-10-02,63
2016-10-09,46
2016-10-16,60
2016-10-23,54
2016-10-30,51
2016-11-06,38
2016-11-13,48
2016-11-20,47
2016-11-27,40
2016-12-04,28
2016-12-11,14
2016-12-18,52
2016-12-25,44
2017-01-01,33
2017-01-08,34
2017-01-15,22
2017-01-22,41
2017-01-29,36
2017-02-05,47
2017-02-12,22
2017-02-19,52
2017-02-26,38
2017-03-05,58
2017-03-12,56
2017-03-19,44
2017-03-26,52
2017-04-02,30
2017-04-09,65
2017-04-16,50
2017-04-23,54
2017-04-30,39
2017-05-07,30
2017-05-14,72
2017-05-21,45
2017-05-28,50
2017-06-04,74
2017-06-11,38
2017-06-18,54
2017-06-25,74
2017-07-02,27
2017-07-09,56
2017-07-16,57
2017-07-23,67
2017-07-30,74
2017-08-06,65
2017-08-13,75
2017-08-20,63
2017-08-27,100
2017-09-03,62
2017-09-10,56
2017-09-17,70
2017-09-24,64
2017-10-01,67
2017-10-08,55
2017-10-15,52
2017-10-22,58
