Category: All categories

Country,Naga Viper pepper: (10/26/12 - 10/26/17)
Croatia,100
Hungary,95
United Kingdom,85
Italy,82
Czechia,58
Canada,55
Serbia,50
United States,44
Sweden,43
Denmark,43
Singapore,43
Romania,40
Philippines,40
Belgium,38
Bulgaria,38
Turkey,34
Norway,32
Hong Kong,31
Australia,31
Mexico,30
Malaysia,29
Spain,29
France,27
Poland,21
Vietnam,20
Taiwan,19
China,18
Netherlands,18
Switzerland,18
Colombia,15
Indonesia,14
Chile,13
Argentina,12
Germany,11
India,10
Venezuela,8
Brazil,7
Russia,4
Japan,1
