Category: All categories

Week,Naga Viper pepper: (Worldwide)
2012-10-28,52
2012-11-04,50
2012-11-11,28
2012-11-18,35
2012-11-25,34
2012-12-02,25
2012-12-09,46
2012-12-16,29
2012-12-23,14
2012-12-30,40
2013-01-06,42
2013-01-13,53
2013-01-20,50
2013-01-27,44
2013-02-03,32
2013-02-10,24
2013-02-17,17
2013-02-24,29
2013-03-03,20
2013-03-10,25
2013-03-17,31
2013-03-24,62
2013-03-31,31
2013-04-07,46
2013-04-14,26
2013-04-21,17
2013-04-28,26
2013-05-05,17
2013-05-12,28
2013-05-19,28
2013-05-26,42
2013-06-02,20
2013-06-09,42
2013-06-16,37
2013-06-23,42
2013-06-30,17
2013-07-07,26
2013-07-14,32
2013-07-21,44
2013-07-28,32
2013-08-04,20
2013-08-11,26
2013-08-18,25
2013-08-25,27
2013-09-01,22
2013-09-08,54
2013-09-15,38
2013-09-22,36
2013-09-29,32
2013-10-06,32
2013-10-13,33
2013-10-20,26
2013-10-27,34
2013-11-03,74
2013-11-10,34
2013-11-17,26
2013-11-24,24
2013-12-01,23
2013-12-08,21
2013-12-15,24
2013-12-22,18
2013-12-29,36
2014-01-05,23
2014-01-12,15
2014-01-19,27
2014-01-26,17
2014-02-02,10
2014-02-09,27
2014-02-16,20
2014-02-23,24
2014-03-02,18
2014-03-09,20
2014-03-16,34
2014-03-23,29
2014-03-30,22
2014-04-06,20
2014-04-13,31
2014-04-20,28
2014-04-27,27
2014-05-04,20
2014-05-11,35
2014-05-18,13
2014-05-25,19
2014-06-01,16
2014-06-08,33
2014-06-15,28
2014-06-22,17
2014-06-29,25
2014-07-06,28
2014-07-13,11
2014-07-20,26
2014-07-27,34
2014-08-03,27
2014-08-10,25
2014-08-17,39
2014-08-24,51
2014-08-31,29
2014-09-07,24
2014-09-14,42
2014-09-21,34
2014-09-28,50
2014-10-05,23
2014-10-12,21
2014-10-19,39
2014-10-26,28
2014-11-02,23
2014-11-09,17
2014-11-16,28
2014-11-23,15
2014-11-30,34
2014-12-07,17
2014-12-14,23
2014-12-21,20
2014-12-28,8
2015-01-04,24
2015-01-11,29
2015-01-18,7
2015-01-25,21
2015-02-01,14
2015-02-08,9
2015-02-15,0
2015-02-22,21
2015-03-01,14
2015-03-08,14
2015-03-15,14
2015-03-22,15
2015-03-29,24
2015-04-05,12
2015-04-12,23
2015-04-19,23
2015-04-26,17
2015-05-03,16
2015-05-10,14
2015-05-17,16
2015-05-24,37
2015-05-31,24
2015-06-07,26
2015-06-14,24
2015-06-21,28
2015-06-28,21
2015-07-05,35
2015-07-12,19
2015-07-19,17
2015-07-26,21
2015-08-02,19
2015-08-09,16
2015-08-16,19
2015-08-23,18
2015-08-30,39
2015-09-06,25
2015-09-13,33
2015-09-20,23
2015-09-27,29
2015-10-04,13
2015-10-11,37
2015-10-18,15
2015-10-25,6
2015-11-01,17
2015-11-08,13
2015-11-15,9
2015-11-22,13
2015-11-29,28
2015-12-06,18
2015-12-13,2
2015-12-20,25
2015-12-27,7
2016-01-03,23
2016-01-10,5
2016-01-17,64
2016-01-24,34
2016-01-31,9
2016-02-07,16
2016-02-14,7
2016-02-21,20
2016-02-28,13
2016-03-06,16
2016-03-13,7
2016-03-20,14
2016-03-27,36
2016-04-03,9
2016-04-10,23
2016-04-17,23
2016-04-24,23
2016-05-01,18
2016-05-08,25
2016-05-15,25
2016-05-22,9
2016-05-29,9
2016-06-05,7
2016-06-12,5
2016-06-19,14
2016-06-26,5
2016-07-03,20
2016-07-10,17
2016-07-17,17
2016-07-24,29
2016-07-31,10
2016-08-07,28
2016-08-14,21
2016-08-21,30
2016-08-28,21
2016-09-04,26
2016-09-11,24
2016-09-18,33
2016-09-25,25
2016-10-02,21
2016-10-09,14
2016-10-16,16
2016-10-23,25
2016-10-30,11
2016-11-06,11
2016-11-13,23
2016-11-20,9
2016-11-27,13
2016-12-04,15
2016-12-11,11
2016-12-18,7
2016-12-25,24
2017-01-01,14
2017-01-08,19
2017-01-15,17
2017-01-22,17
2017-01-29,13
2017-02-05,19
2017-02-12,25
2017-02-19,21
2017-02-26,10
2017-03-05,26
2017-03-12,28
2017-03-19,12
2017-03-26,17
2017-04-02,29
2017-04-09,9
2017-04-16,13
2017-04-23,23
2017-04-30,15
2017-05-07,21
2017-05-14,22
2017-05-21,20
2017-05-28,16
2017-06-04,24
2017-06-11,7
2017-06-18,13
2017-06-25,20
2017-07-02,12
2017-07-09,18
2017-07-16,20
2017-07-23,18
2017-07-30,20
2017-08-06,15
2017-08-13,57
2017-08-20,100
2017-08-27,33
2017-09-03,24
2017-09-10,32
2017-09-17,17
2017-09-24,6
2017-10-01,27
2017-10-08,38
2017-10-15,27
2017-10-22,52
