Category: All categories

Week,New Mexico chile: (Worldwide)
2012-10-28,17
2012-11-04,15
2012-11-11,17
2012-11-18,15
2012-11-25,18
2012-12-02,14
2012-12-09,16
2012-12-16,17
2012-12-23,18
2012-12-30,18
2013-01-06,16
2013-01-13,14
2013-01-20,15
2013-01-27,17
2013-02-03,17
2013-02-10,12
2013-02-17,14
2013-02-24,17
2013-03-03,13
2013-03-10,13
2013-03-17,14
2013-03-24,15
2013-03-31,13
2013-04-07,16
2013-04-14,16
2013-04-21,18
2013-04-28,17
2013-05-05,16
2013-05-12,15
2013-05-19,17
2013-05-26,18
2013-06-02,17
2013-06-09,19
2013-06-16,17
2013-06-23,20
2013-06-30,23
2013-07-07,21
2013-07-14,24
2013-07-21,29
2013-07-28,42
2013-08-04,75
2013-08-11,96
2013-08-18,93
2013-08-25,86
2013-09-01,67
2013-09-08,48
2013-09-15,39
2013-09-22,33
2013-09-29,27
2013-10-06,25
2013-10-13,27
2013-10-20,22
2013-10-27,22
2013-11-03,20
2013-11-10,17
2013-11-17,14
2013-11-24,14
2013-12-01,15
2013-12-08,18
2013-12-15,16
2013-12-22,19
2013-12-29,23
2014-01-05,18
2014-01-12,16
2014-01-19,17
2014-01-26,21
2014-02-02,21
2014-02-09,17
2014-02-16,19
2014-02-23,18
2014-03-02,16
2014-03-09,18
2014-03-16,18
2014-03-23,17
2014-03-30,16
2014-04-06,15
2014-04-13,19
2014-04-20,14
2014-04-27,15
2014-05-04,13
2014-05-11,15
2014-05-18,13
2014-05-25,17
2014-06-01,19
2014-06-08,17
2014-06-15,16
2014-06-22,18
2014-06-29,22
2014-07-06,23
2014-07-13,25
2014-07-20,27
2014-07-27,33
2014-08-03,54
2014-08-10,91
2014-08-17,98
2014-08-24,99
2014-08-31,77
2014-09-07,59
2014-09-14,44
2014-09-21,33
2014-09-28,30
2014-10-05,25
2014-10-12,26
2014-10-19,20
2014-10-26,19
2014-11-02,19
2014-11-09,21
2014-11-16,20
2014-11-23,15
2014-11-30,16
2014-12-07,19
2014-12-14,17
2014-12-21,19
2014-12-28,20
2015-01-04,17
2015-01-11,16
2015-01-18,21
2015-01-25,19
2015-02-01,16
2015-02-08,15
2015-02-15,16
2015-02-22,17
2015-03-01,14
2015-03-08,14
2015-03-15,15
2015-03-22,19
2015-03-29,19
2015-04-05,16
2015-04-12,13
2015-04-19,16
2015-04-26,19
2015-05-03,19
2015-05-10,17
2015-05-17,19
2015-05-24,18
2015-05-31,17
2015-06-07,21
2015-06-14,18
2015-06-21,20
2015-06-28,20
2015-07-05,28
2015-07-12,23
2015-07-19,29
2015-07-26,33
2015-08-02,60
2015-08-09,84
2015-08-16,99
2015-08-23,87
2015-08-30,82
2015-09-06,63
2015-09-13,41
2015-09-20,31
2015-09-27,29
2015-10-04,25
2015-10-11,25
2015-10-18,28
2015-10-25,23
2015-11-01,19
2015-11-08,16
2015-11-15,19
2015-11-22,18
2015-11-29,15
2015-12-06,18
2015-12-13,19
2015-12-20,22
2015-12-27,23
2016-01-03,21
2016-01-10,24
2016-01-17,21
2016-01-24,16
2016-01-31,18
2016-02-07,19
2016-02-14,14
2016-02-21,19
2016-02-28,19
2016-03-06,18
2016-03-13,16
2016-03-20,14
2016-03-27,14
2016-04-03,15
2016-04-10,16
2016-04-17,16
2016-04-24,20
2016-05-01,19
2016-05-08,17
2016-05-15,21
2016-05-22,20
2016-05-29,19
2016-06-05,17
2016-06-12,20
2016-06-19,21
2016-06-26,21
2016-07-03,29
2016-07-10,28
2016-07-17,32
2016-07-24,38
2016-07-31,48
2016-08-07,79
2016-08-14,86
2016-08-21,93
2016-08-28,81
2016-09-04,64
2016-09-11,46
2016-09-18,37
2016-09-25,26
2016-10-02,30
2016-10-09,26
2016-10-16,25
2016-10-23,26
2016-10-30,18
2016-11-06,16
2016-11-13,19
2016-11-20,18
2016-11-27,17
2016-12-04,16
2016-12-11,19
2016-12-18,24
2016-12-25,23
2017-01-01,24
2017-01-08,22
2017-01-15,22
2017-01-22,19
2017-01-29,21
2017-02-05,18
2017-02-12,17
2017-02-19,16
2017-02-26,20
2017-03-05,18
2017-03-12,21
2017-03-19,17
2017-03-26,16
2017-04-02,17
2017-04-09,18
2017-04-16,19
2017-04-23,17
2017-04-30,22
2017-05-07,17
2017-05-14,19
2017-05-21,20
2017-05-28,19
2017-06-04,19
2017-06-11,22
2017-06-18,22
2017-06-25,25
2017-07-02,28
2017-07-09,27
2017-07-16,31
2017-07-23,35
2017-07-30,43
2017-08-06,72
2017-08-13,100
2017-08-20,100
2017-08-27,88
2017-09-03,71
2017-09-10,50
2017-09-17,39
2017-09-24,33
2017-10-01,31
2017-10-08,25
2017-10-15,25
2017-10-22,23
