Category: All categories

Country,Pimiento: (10/26/12 - 10/26/17)
Jamaica,100
Trinidad & Tobago,78
United States,48
Malta,47
Puerto Rico,38
Philippines,27
Sweden,23
Canada,20
Mozambique,20
United Kingdom,19
Portugal,18
Australia,17
New Zealand,16
Spain,15
Norway,14
Ireland,14
Venezuela,11
Zimbabwe,11
South Africa,11
Ecuador,11
United Arab Emirates,10
Panama,10
Singapore,9
Chile,9
Bahrain,9
Peru,9
Finland,8
Dominican Republic,8
Paraguay,8
Colombia,8
St. Helena,8
Switzerland,8
Denmark,7
Costa Rica,7
Argentina,7
Netherlands,6
Qatar,6
Angola,6
Guatemala,6
Mexico,6
Germany,6
Belgium,6
Hong Kong,5
Czechia,5
Bolivia,5
Austria,5
Uruguay,4
France,4
El Salvador,4
Croatia,4
Poland,4
Greece,4
Nigeria,3
Romania,3
Malaysia,3
Hungary,3
Italy,3
South Korea,3
Israel,3
Saudi Arabia,2
Pakistan,2
Kenya,2
Bangladesh,2
Japan,2
India,2
Serbia,2
Taiwan,2
Thailand,1
Ukraine,1
Brazil,1
Indonesia,1
Iran,1
Morocco,1
Russia,1
Turkey,1
Vietnam,1
Algeria,1
