Category: All categories

Week,Pimiento: (Worldwide)
2012-10-28,46
2012-11-04,45
2012-11-11,50
2012-11-18,56
2012-11-25,40
2012-12-02,41
2012-12-09,45
2012-12-16,51
2012-12-23,62
2012-12-30,63
2013-01-06,60
2013-01-13,63
2013-01-20,52
2013-01-27,55
2013-02-03,49
2013-02-10,45
2013-02-17,47
2013-02-24,45
2013-03-03,49
2013-03-10,48
2013-03-17,46
2013-03-24,50
2013-03-31,51
2013-04-07,67
2013-04-14,58
2013-04-21,51
2013-04-28,54
2013-05-05,52
2013-05-12,48
2013-05-19,51
2013-05-26,52
2013-06-02,55
2013-06-09,54
2013-06-16,52
2013-06-23,51
2013-06-30,61
2013-07-07,56
2013-07-14,59
2013-07-21,55
2013-07-28,54
2013-08-04,71
2013-08-11,63
2013-08-18,58
2013-08-25,56
2013-09-01,57
2013-09-08,52
2013-09-15,55
2013-09-22,51
2013-09-29,51
2013-10-06,52
2013-10-13,50
2013-10-20,48
2013-10-27,47
2013-11-03,47
2013-11-10,44
2013-11-17,49
2013-11-24,61
2013-12-01,43
2013-12-08,48
2013-12-15,50
2013-12-22,70
2013-12-29,58
2014-01-05,54
2014-01-12,48
2014-01-19,45
2014-01-26,51
2014-02-02,49
2014-02-09,45
2014-02-16,43
2014-02-23,46
2014-03-02,51
2014-03-09,76
2014-03-16,46
2014-03-23,49
2014-03-30,50
2014-04-06,63
2014-04-13,62
2014-04-20,50
2014-04-27,52
2014-05-04,46
2014-05-11,49
2014-05-18,52
2014-05-25,51
2014-06-01,51
2014-06-08,48
2014-06-15,48
2014-06-22,45
2014-06-29,54
2014-07-06,48
2014-07-13,50
2014-07-20,56
2014-07-27,60
2014-08-03,61
2014-08-10,60
2014-08-17,63
2014-08-24,68
2014-08-31,55
2014-09-07,51
2014-09-14,54
2014-09-21,50
2014-09-28,50
2014-10-05,49
2014-10-12,47
2014-10-19,47
2014-10-26,47
2014-11-02,48
2014-11-09,51
2014-11-16,53
2014-11-23,61
2014-11-30,50
2014-12-07,50
2014-12-14,59
2014-12-21,72
2014-12-28,66
2015-01-04,50
2015-01-11,48
2015-01-18,48
2015-01-25,54
2015-02-01,47
2015-02-08,47
2015-02-15,52
2015-02-22,55
2015-03-01,50
2015-03-08,46
2015-03-15,50
2015-03-22,52
2015-03-29,92
2015-04-05,85
2015-04-12,64
2015-04-19,56
2015-04-26,57
2015-05-03,49
2015-05-10,53
2015-05-17,55
2015-05-24,58
2015-05-31,59
2015-06-07,53
2015-06-14,56
2015-06-21,56
2015-06-28,62
2015-07-05,58
2015-07-12,61
2015-07-19,62
2015-07-26,57
2015-08-02,59
2015-08-09,57
2015-08-16,62
2015-08-23,62
2015-08-30,58
2015-09-06,60
2015-09-13,57
2015-09-20,55
2015-09-27,56
2015-10-04,56
2015-10-11,52
2015-10-18,55
2015-10-25,53
2015-11-01,51
2015-11-08,54
2015-11-15,58
2015-11-22,63
2015-11-29,49
2015-12-06,52
2015-12-13,56
2015-12-20,75
2015-12-27,68
2016-01-03,56
2016-01-10,54
2016-01-17,67
2016-01-24,54
2016-01-31,66
2016-02-07,59
2016-02-14,57
2016-02-21,65
2016-02-28,80
2016-03-06,64
2016-03-13,60
2016-03-20,64
2016-03-27,73
2016-04-03,91
2016-04-10,80
2016-04-17,65
2016-04-24,61
2016-05-01,65
2016-05-08,62
2016-05-15,60
2016-05-22,64
2016-05-29,66
2016-06-05,65
2016-06-12,62
2016-06-19,66
2016-06-26,68
2016-07-03,68
2016-07-10,58
2016-07-17,66
2016-07-24,64
2016-07-31,65
2016-08-07,65
2016-08-14,64
2016-08-21,100
2016-08-28,70
2016-09-04,68
2016-09-11,67
2016-09-18,65
2016-09-25,59
2016-10-02,64
2016-10-09,67
2016-10-16,61
2016-10-23,65
2016-10-30,59
2016-11-06,59
2016-11-13,64
2016-11-20,77
2016-11-27,55
2016-12-04,56
2016-12-11,63
2016-12-18,77
2016-12-25,64
2017-01-01,63
2017-01-08,59
2017-01-15,57
2017-01-22,59
2017-01-29,69
2017-02-05,66
2017-02-12,55
2017-02-19,56
2017-02-26,56
2017-03-05,56
2017-03-12,58
2017-03-19,63
2017-03-26,56
2017-04-02,89
2017-04-09,78
2017-04-16,66
2017-04-23,60
2017-04-30,64
2017-05-07,66
2017-05-14,62
2017-05-21,63
2017-05-28,64
2017-06-04,61
2017-06-11,58
2017-06-18,64
2017-06-25,71
2017-07-02,66
2017-07-09,63
2017-07-16,68
2017-07-23,67
2017-07-30,70
2017-08-06,66
2017-08-13,66
2017-08-20,66
2017-08-27,64
2017-09-03,62
2017-09-10,63
2017-09-17,55
2017-09-24,62
2017-10-01,60
2017-10-08,58
2017-10-15,61
2017-10-22,55
