Category: All categories

Week,poblano: (Worldwide)
2012-10-28,62
2012-11-04,64
2012-11-11,65
2012-11-18,61
2012-11-25,55
2012-12-02,53
2012-12-09,53
2012-12-16,52
2012-12-23,54
2012-12-30,65
2013-01-06,70
2013-01-13,62
2013-01-20,74
2013-01-27,76
2013-02-03,69
2013-02-10,67
2013-02-17,73
2013-02-24,60
2013-03-03,65
2013-03-10,65
2013-03-17,63
2013-03-24,59
2013-03-31,58
2013-04-07,68
2013-04-14,67
2013-04-21,62
2013-04-28,70
2013-05-05,68
2013-05-12,62
2013-05-19,55
2013-05-26,63
2013-06-02,65
2013-06-09,63
2013-06-16,66
2013-06-23,61
2013-06-30,69
2013-07-07,67
2013-07-14,67
2013-07-21,72
2013-07-28,72
2013-08-04,78
2013-08-11,81
2013-08-18,77
2013-08-25,75
2013-09-01,82
2013-09-08,83
2013-09-15,75
2013-09-22,85
2013-09-29,82
2013-10-06,77
2013-10-13,75
2013-10-20,79
2013-10-27,71
2013-11-03,69
2013-11-10,70
2013-11-17,70
2013-11-24,63
2013-12-01,58
2013-12-08,56
2013-12-15,53
2013-12-22,54
2013-12-29,71
2014-01-05,72
2014-01-12,66
2014-01-19,71
2014-01-26,77
2014-02-02,70
2014-02-09,63
2014-02-16,71
2014-02-23,69
2014-03-02,72
2014-03-09,77
2014-03-16,67
2014-03-23,66
2014-03-30,68
2014-04-06,65
2014-04-13,62
2014-04-20,63
2014-04-27,61
2014-05-04,77
2014-05-11,72
2014-05-18,65
2014-05-25,66
2014-06-01,67
2014-06-08,69
2014-06-15,69
2014-06-22,66
2014-06-29,67
2014-07-06,70
2014-07-13,71
2014-07-20,81
2014-07-27,74
2014-08-03,86
2014-08-10,82
2014-08-17,90
2014-08-24,83
2014-08-31,86
2014-09-07,85
2014-09-14,82
2014-09-21,79
2014-09-28,81
2014-10-05,87
2014-10-12,78
2014-10-19,77
2014-10-26,75
2014-11-02,75
2014-11-09,72
2014-11-16,69
2014-11-23,62
2014-11-30,65
2014-12-07,65
2014-12-14,62
2014-12-21,70
2014-12-28,75
2015-01-04,74
2015-01-11,74
2015-01-18,82
2015-01-25,78
2015-02-01,73
2015-02-08,75
2015-02-15,82
2015-02-22,79
2015-03-01,76
2015-03-08,74
2015-03-15,71
2015-03-22,70
2015-03-29,65
2015-04-05,64
2015-04-12,71
2015-04-19,79
2015-04-26,68
2015-05-03,78
2015-05-10,70
2015-05-17,68
2015-05-24,71
2015-05-31,72
2015-06-07,65
2015-06-14,73
2015-06-21,66
2015-06-28,68
2015-07-05,76
2015-07-12,76
2015-07-19,79
2015-07-26,77
2015-08-02,78
2015-08-09,86
2015-08-16,84
2015-08-23,81
2015-08-30,93
2015-09-06,93
2015-09-13,78
2015-09-20,90
2015-09-27,86
2015-10-04,84
2015-10-11,82
2015-10-18,100
2015-10-25,81
2015-11-01,77
2015-11-08,73
2015-11-15,66
2015-11-22,66
2015-11-29,67
2015-12-06,67
2015-12-13,65
2015-12-20,76
2015-12-27,80
2016-01-03,69
2016-01-10,82
2016-01-17,82
2016-01-24,77
2016-01-31,77
2016-02-07,75
2016-02-14,77
2016-02-21,74
2016-02-28,72
2016-03-06,70
2016-03-13,64
2016-03-20,69
2016-03-27,65
2016-04-03,68
2016-04-10,74
2016-04-17,69
2016-04-24,73
2016-05-01,87
2016-05-08,72
2016-05-15,73
2016-05-22,68
2016-05-29,69
2016-06-05,67
2016-06-12,72
2016-06-19,73
2016-06-26,72
2016-07-03,73
2016-07-10,69
2016-07-17,69
2016-07-24,77
2016-07-31,73
2016-08-07,73
2016-08-14,78
2016-08-21,79
2016-08-28,80
2016-09-04,85
2016-09-11,87
2016-09-18,82
2016-09-25,73
2016-10-02,81
2016-10-09,83
2016-10-16,80
2016-10-23,81
2016-10-30,75
2016-11-06,69
2016-11-13,76
2016-11-20,69
2016-11-27,64
2016-12-04,69
2016-12-11,65
2016-12-18,72
2016-12-25,69
2017-01-01,75
2017-01-08,77
2017-01-15,74
2017-01-22,76
2017-01-29,84
2017-02-05,76
2017-02-12,75
2017-02-19,74
2017-02-26,78
2017-03-05,78
2017-03-12,76
2017-03-19,75
2017-03-26,76
2017-04-02,72
2017-04-09,66
2017-04-16,63
2017-04-23,77
2017-04-30,82
2017-05-07,72
2017-05-14,67
2017-05-21,74
2017-05-28,75
2017-06-04,77
2017-06-11,77
2017-06-18,78
2017-06-25,79
2017-07-02,80
2017-07-09,74
2017-07-16,83
2017-07-23,82
2017-07-30,79
2017-08-06,84
2017-08-13,83
2017-08-20,92
2017-08-27,85
2017-09-03,95
2017-09-10,86
2017-09-17,88
2017-09-24,88
2017-10-01,86
2017-10-08,84
2017-10-15,94
2017-10-22,93
