Category: All categories

Week,Red Savina pepper: (Worldwide)
2012-10-28,48
2012-11-04,25
2012-11-11,44
2012-11-18,36
2012-11-25,46
2012-12-02,46
2012-12-09,32
2012-12-16,22
2012-12-23,25
2012-12-30,38
2013-01-06,24
2013-01-13,44
2013-01-20,49
2013-01-27,36
2013-02-03,41
2013-02-10,34
2013-02-17,46
2013-02-24,38
2013-03-03,50
2013-03-10,27
2013-03-17,54
2013-03-24,41
2013-03-31,43
2013-04-07,37
2013-04-14,22
2013-04-21,43
2013-04-28,51
2013-05-05,50
2013-05-12,45
2013-05-19,30
2013-05-26,50
2013-06-02,42
2013-06-09,45
2013-06-16,30
2013-06-23,52
2013-06-30,41
2013-07-07,44
2013-07-14,67
2013-07-21,38
2013-07-28,43
2013-08-04,36
2013-08-11,51
2013-08-18,97
2013-08-25,65
2013-09-01,80
2013-09-08,62
2013-09-15,59
2013-09-22,65
2013-09-29,68
2013-10-06,54
2013-10-13,66
2013-10-20,42
2013-10-27,59
2013-11-03,48
2013-11-10,58
2013-11-17,80
2013-11-24,44
2013-12-01,34
2013-12-08,30
2013-12-15,12
2013-12-22,39
2013-12-29,25
2014-01-05,38
2014-01-12,26
2014-01-19,45
2014-01-26,46
2014-02-02,37
2014-02-09,24
2014-02-16,45
2014-02-23,56
2014-03-02,61
2014-03-09,50
2014-03-16,65
2014-03-23,38
2014-03-30,45
2014-04-06,72
2014-04-13,75
2014-04-20,51
2014-04-27,51
2014-05-04,50
2014-05-11,57
2014-05-18,51
2014-05-25,60
2014-06-01,36
2014-06-08,49
2014-06-15,54
2014-06-22,71
2014-06-29,52
2014-07-06,51
2014-07-13,45
2014-07-20,65
2014-07-27,84
2014-08-03,70
2014-08-10,61
2014-08-17,70
2014-08-24,100
2014-08-31,81
2014-09-07,87
2014-09-14,81
2014-09-21,71
2014-09-28,60
2014-10-05,73
2014-10-12,68
2014-10-19,65
2014-10-26,56
2014-11-02,38
2014-11-09,50
2014-11-16,53
2014-11-23,17
2014-11-30,48
2014-12-07,22
2014-12-14,29
2014-12-21,39
2014-12-28,46
2015-01-04,51
2015-01-11,27
2015-01-18,50
2015-01-25,33
2015-02-01,35
2015-02-08,41
2015-02-15,42
2015-02-22,39
2015-03-01,35
2015-03-08,31
2015-03-15,29
2015-03-22,40
2015-03-29,23
2015-04-05,55
2015-04-12,41
2015-04-19,55
2015-04-26,46
2015-05-03,41
2015-05-10,45
2015-05-17,45
2015-05-24,41
2015-05-31,42
2015-06-07,23
2015-06-14,37
2015-06-21,42
2015-06-28,44
2015-07-05,33
2015-07-12,50
2015-07-19,66
2015-07-26,35
2015-08-02,73
2015-08-09,31
2015-08-16,65
2015-08-23,57
2015-08-30,58
2015-09-06,69
2015-09-13,72
2015-09-20,51
2015-09-27,56
2015-10-04,60
2015-10-11,59
2015-10-18,36
2015-10-25,36
2015-11-01,40
2015-11-08,33
2015-11-15,31
2015-11-22,31
2015-11-29,32
2015-12-06,25
2015-12-13,35
2015-12-20,28
2015-12-27,28
2016-01-03,33
2016-01-10,30
2016-01-17,88
2016-01-24,32
2016-01-31,46
2016-02-07,34
2016-02-14,24
2016-02-21,39
2016-02-28,35
2016-03-06,28
2016-03-13,26
2016-03-20,27
2016-03-27,22
2016-04-03,38
2016-04-10,42
2016-04-17,38
2016-04-24,34
2016-05-01,44
2016-05-08,28
2016-05-15,42
2016-05-22,44
2016-05-29,37
2016-06-05,45
2016-06-12,30
2016-06-19,12
2016-06-26,31
2016-07-03,54
2016-07-10,38
2016-07-17,41
2016-07-24,45
2016-07-31,54
2016-08-07,55
2016-08-14,63
2016-08-21,56
2016-08-28,81
2016-09-04,60
2016-09-11,79
2016-09-18,55
2016-09-25,61
2016-10-02,50
2016-10-09,41
2016-10-16,34
2016-10-23,51
2016-10-30,42
2016-11-06,22
2016-11-13,42
2016-11-20,20
2016-11-27,23
2016-12-04,32
2016-12-11,16
2016-12-18,22
2016-12-25,23
2017-01-01,24
2017-01-08,28
2017-01-15,37
2017-01-22,26
2017-01-29,33
2017-02-05,30
2017-02-12,29
2017-02-19,30
2017-02-26,22
2017-03-05,28
2017-03-12,39
2017-03-19,37
2017-03-26,41
2017-04-02,37
2017-04-09,48
2017-04-16,28
2017-04-23,35
2017-04-30,24
2017-05-07,33
2017-05-14,49
2017-05-21,28
2017-05-28,32
2017-06-04,35
2017-06-11,35
2017-06-18,36
2017-06-25,36
2017-07-02,40
2017-07-09,38
2017-07-16,26
2017-07-23,57
2017-07-30,38
2017-08-06,70
2017-08-13,64
2017-08-20,63
2017-08-27,38
2017-09-03,46
2017-09-10,64
2017-09-17,26
2017-09-24,34
2017-10-01,35
2017-10-08,37
2017-10-15,35
2017-10-22,52
