Category: All categories

Country,Serrano pepper: (10/26/12 - 10/26/17)
Iceland,100
Mexico,17
United States,13
Guatemala,8
Canada,8
Puerto Rico,7
Singapore,5
Finland,4
Australia,4
Philippines,4
New Zealand,3
Chile,3
Costa Rica,3
Norway,2
United Kingdom,2
South Africa,2
Bosnia & Herzegovina,2
Ireland,2
Uganda,2
United Arab Emirates,2
Uruguay,2
Spain,2
Ecuador,2
Denmark,2
Sweden,2
Argentina,1
Bolivia,1
Venezuela,1
Switzerland,1
Peru,1
Turkey,1
Malaysia,1
Netherlands,1
Colombia,1
Belgium,1
Hungary,1
Portugal,1
Germany,1
Croatia,1
Pakistan,1
Austria,1
Italy,1
Romania,0
India,0
Serbia,0
France,0
Poland,0
Brazil,0
Indonesia,0
Thailand,0
Russia,0
Japan,0
