Category: All categories

Week,Serrano pepper: (Worldwide)
2012-10-28,58
2012-11-04,53
2012-11-11,58
2012-11-18,45
2012-11-25,65
2012-12-02,46
2012-12-09,50
2012-12-16,50
2012-12-23,66
2012-12-30,66
2013-01-06,61
2013-01-13,64
2013-01-20,70
2013-01-27,68
2013-02-03,69
2013-02-10,59
2013-02-17,58
2013-02-24,57
2013-03-03,61
2013-03-10,66
2013-03-17,66
2013-03-24,55
2013-03-31,57
2013-04-07,61
2013-04-14,56
2013-04-21,63
2013-04-28,70
2013-05-05,71
2013-05-12,62
2013-05-19,67
2013-05-26,68
2013-06-02,60
2013-06-09,68
2013-06-16,68
2013-06-23,80
2013-06-30,87
2013-07-07,82
2013-07-14,83
2013-07-21,88
2013-07-28,92
2013-08-04,84
2013-08-11,96
2013-08-18,89
2013-08-25,78
2013-09-01,88
2013-09-08,90
2013-09-15,80
2013-09-22,72
2013-09-29,70
2013-10-06,71
2013-10-13,68
2013-10-20,72
2013-10-27,69
2013-11-03,66
2013-11-10,67
2013-11-17,57
2013-11-24,53
2013-12-01,52
2013-12-08,55
2013-12-15,50
2013-12-22,61
2013-12-29,77
2014-01-05,76
2014-01-12,61
2014-01-19,58
2014-01-26,67
2014-02-02,62
2014-02-09,69
2014-02-16,60
2014-02-23,55
2014-03-02,61
2014-03-09,58
2014-03-16,72
2014-03-23,64
2014-03-30,69
2014-04-06,74
2014-04-13,59
2014-04-20,59
2014-04-27,72
2014-05-04,79
2014-05-11,72
2014-05-18,69
2014-05-25,64
2014-06-01,69
2014-06-08,70
2014-06-15,71
2014-06-22,71
2014-06-29,84
2014-07-06,76
2014-07-13,83
2014-07-20,89
2014-07-27,90
2014-08-03,98
2014-08-10,82
2014-08-17,86
2014-08-24,86
2014-08-31,82
2014-09-07,84
2014-09-14,82
2014-09-21,64
2014-09-28,70
2014-10-05,77
2014-10-12,71
2014-10-19,70
2014-10-26,65
2014-11-02,76
2014-11-09,63
2014-11-16,61
2014-11-23,59
2014-11-30,56
2014-12-07,49
2014-12-14,50
2014-12-21,58
2014-12-28,81
2015-01-04,68
2015-01-11,67
2015-01-18,66
2015-01-25,72
2015-02-01,65
2015-02-08,69
2015-02-15,68
2015-02-22,73
2015-03-01,56
2015-03-08,69
2015-03-15,63
2015-03-22,63
2015-03-29,57
2015-04-05,77
2015-04-12,71
2015-04-19,74
2015-04-26,75
2015-05-03,87
2015-05-10,78
2015-05-17,80
2015-05-24,82
2015-05-31,72
2015-06-07,76
2015-06-14,69
2015-06-21,75
2015-06-28,87
2015-07-05,77
2015-07-12,79
2015-07-19,95
2015-07-26,85
2015-08-02,87
2015-08-09,83
2015-08-16,84
2015-08-23,83
2015-08-30,92
2015-09-06,81
2015-09-13,77
2015-09-20,77
2015-09-27,76
2015-10-04,73
2015-10-11,81
2015-10-18,65
2015-10-25,70
2015-11-01,66
2015-11-08,62
2015-11-15,67
2015-11-22,67
2015-11-29,62
2015-12-06,63
2015-12-13,61
2015-12-20,60
2015-12-27,71
2016-01-03,71
2016-01-10,71
2016-01-17,72
2016-01-24,69
2016-01-31,79
2016-02-07,80
2016-02-14,68
2016-02-21,74
2016-02-28,66
2016-03-06,75
2016-03-13,64
2016-03-20,69
2016-03-27,67
2016-04-03,75
2016-04-10,70
2016-04-17,74
2016-04-24,82
2016-05-01,81
2016-05-08,71
2016-05-15,66
2016-05-22,75
2016-05-29,78
2016-06-05,86
2016-06-12,77
2016-06-19,79
2016-06-26,77
2016-07-03,84
2016-07-10,79
2016-07-17,92
2016-07-24,95
2016-07-31,89
2016-08-07,87
2016-08-14,88
2016-08-21,86
2016-08-28,90
2016-09-04,95
2016-09-11,81
2016-09-18,77
2016-09-25,73
2016-10-02,78
2016-10-09,79
2016-10-16,72
2016-10-23,81
2016-10-30,63
2016-11-06,66
2016-11-13,66
2016-11-20,70
2016-11-27,61
2016-12-04,66
2016-12-11,58
2016-12-18,76
2016-12-25,76
2017-01-01,72
2017-01-08,77
2017-01-15,73
2017-01-22,71
2017-01-29,75
2017-02-05,81
2017-02-12,67
2017-02-19,72
2017-02-26,63
2017-03-05,72
2017-03-12,75
2017-03-19,77
2017-03-26,72
2017-04-02,65
2017-04-09,73
2017-04-16,72
2017-04-23,78
2017-04-30,76
2017-05-07,83
2017-05-14,80
2017-05-21,76
2017-05-28,90
2017-06-04,81
2017-06-11,93
2017-06-18,82
2017-06-25,81
2017-07-02,96
2017-07-09,87
2017-07-16,88
2017-07-23,89
2017-07-30,94
2017-08-06,100
2017-08-13,95
2017-08-20,91
2017-08-27,92
2017-09-03,99
2017-09-10,84
2017-09-17,81
2017-09-24,86
2017-10-01,78
2017-10-08,80
2017-10-15,78
2017-10-22,79
