Category: All categories

Country,Bird's eye chili: (10/26/12 - 10/26/17)
Malaysia,100
Indonesia,65
Brunei,45
Singapore,43
Thailand,23
Vietnam,11
Uganda,5
Australia,5
Netherlands,3
United States,3
Hong Kong,3
Canada,3
Cambodia,3
Kenya,3
Norway,2
New Zealand,2
United Kingdom,2
Finland,2
South Africa,2
United Arab Emirates,2
Ireland,2
Philippines,2
Denmark,2
St. Helena,2
Sweden,2
Austria,2
Tanzania,2
Czechia,1
Germany,1
India,1
Saudi Arabia,1
Hungary,1
China,1
Switzerland,1
Taiwan,1
South Korea,1
Belgium,1
Pakistan,0
Bolivia,0
Poland,0
Russia,0
Italy,0
Spain,0
Japan,0
Mexico,0
France,0
Turkey,0
Brazil,0
