Category: All categories

Week,Bird's eye chili: (Worldwide)
2012-10-28,31
2012-11-04,28
2012-11-11,35
2012-11-18,26
2012-11-25,32
2012-12-02,34
2012-12-09,33
2012-12-16,30
2012-12-23,31
2012-12-30,36
2013-01-06,36
2013-01-13,29
2013-01-20,34
2013-01-27,34
2013-02-03,36
2013-02-10,37
2013-02-17,35
2013-02-24,39
2013-03-03,33
2013-03-10,39
2013-03-17,38
2013-03-24,44
2013-03-31,43
2013-04-07,44
2013-04-14,65
2013-04-21,50
2013-04-28,46
2013-05-05,43
2013-05-12,42
2013-05-19,33
2013-05-26,36
2013-06-02,43
2013-06-09,41
2013-06-16,41
2013-06-23,41
2013-06-30,41
2013-07-07,54
2013-07-14,58
2013-07-21,48
2013-07-28,47
2013-08-04,36
2013-08-11,42
2013-08-18,42
2013-08-25,48
2013-09-01,49
2013-09-08,46
2013-09-15,44
2013-09-22,46
2013-09-29,40
2013-10-06,42
2013-10-13,39
2013-10-20,38
2013-10-27,45
2013-11-03,42
2013-11-10,44
2013-11-17,41
2013-11-24,43
2013-12-01,35
2013-12-08,44
2013-12-15,39
2013-12-22,42
2013-12-29,43
2014-01-05,45
2014-01-12,40
2014-01-19,45
2014-01-26,41
2014-02-02,43
2014-02-09,46
2014-02-16,48
2014-02-23,47
2014-03-02,45
2014-03-09,46
2014-03-16,46
2014-03-23,47
2014-03-30,50
2014-04-06,48
2014-04-13,51
2014-04-20,56
2014-04-27,54
2014-05-04,48
2014-05-11,50
2014-05-18,47
2014-05-25,48
2014-06-01,51
2014-06-08,46
2014-06-15,51
2014-06-22,40
2014-06-29,58
2014-07-06,56
2014-07-13,51
2014-07-20,46
2014-07-27,39
2014-08-03,49
2014-08-10,50
2014-08-17,52
2014-08-24,50
2014-08-31,49
2014-09-07,50
2014-09-14,55
2014-09-21,49
2014-09-28,49
2014-10-05,44
2014-10-12,48
2014-10-19,61
2014-10-26,50
2014-11-02,55
2014-11-09,58
2014-11-16,56
2014-11-23,57
2014-11-30,48
2014-12-07,53
2014-12-14,52
2014-12-21,56
2014-12-28,55
2015-01-04,57
2015-01-11,54
2015-01-18,60
2015-01-25,59
2015-02-01,56
2015-02-08,51
2015-02-15,53
2015-02-22,50
2015-03-01,50
2015-03-08,54
2015-03-15,51
2015-03-22,47
2015-03-29,50
2015-04-05,52
2015-04-12,50
2015-04-19,54
2015-04-26,55
2015-05-03,47
2015-05-10,53
2015-05-17,48
2015-05-24,56
2015-05-31,53
2015-06-07,52
2015-06-14,56
2015-06-21,68
2015-06-28,56
2015-07-05,56
2015-07-12,51
2015-07-19,56
2015-07-26,58
2015-08-02,64
2015-08-09,65
2015-08-16,65
2015-08-23,65
2015-08-30,63
2015-09-06,66
2015-09-13,64
2015-09-20,54
2015-09-27,60
2015-10-04,59
2015-10-11,60
2015-10-18,55
2015-10-25,54
2015-11-01,58
2015-11-08,55
2015-11-15,57
2015-11-22,57
2015-11-29,54
2015-12-06,51
2015-12-13,50
2015-12-20,59
2015-12-27,57
2016-01-03,65
2016-01-10,65
2016-01-17,67
2016-01-24,63
2016-01-31,60
2016-02-07,59
2016-02-14,59
2016-02-21,61
2016-02-28,61
2016-03-06,66
2016-03-13,64
2016-03-20,63
2016-03-27,57
2016-04-03,60
2016-04-10,65
2016-04-17,65
2016-04-24,66
2016-05-01,59
2016-05-08,62
2016-05-15,61
2016-05-22,64
2016-05-29,60
2016-06-05,77
2016-06-12,69
2016-06-19,66
2016-06-26,65
2016-07-03,52
2016-07-10,61
2016-07-17,66
2016-07-24,65
2016-07-31,74
2016-08-07,74
2016-08-14,66
2016-08-21,69
2016-08-28,78
2016-09-04,74
2016-09-11,68
2016-09-18,69
2016-09-25,59
2016-10-02,62
2016-10-09,70
2016-10-16,70
2016-10-23,66
2016-10-30,65
2016-11-06,64
2016-11-13,70
2016-11-20,64
2016-11-27,65
2016-12-04,66
2016-12-11,61
2016-12-18,62
2016-12-25,71
2017-01-01,89
2017-01-08,100
2017-01-15,94
2017-01-22,80
2017-01-29,86
2017-02-05,88
2017-02-12,88
2017-02-19,89
2017-02-26,86
2017-03-05,89
2017-03-12,84
2017-03-19,87
2017-03-26,76
2017-04-02,81
2017-04-09,79
2017-04-16,73
2017-04-23,75
2017-04-30,73
2017-05-07,81
2017-05-14,77
2017-05-21,73
2017-05-28,82
2017-06-04,76
2017-06-11,67
2017-06-18,67
2017-06-25,60
2017-07-02,70
2017-07-09,76
2017-07-16,76
2017-07-23,77
2017-07-30,74
2017-08-06,74
2017-08-13,81
2017-08-20,78
2017-08-27,75
2017-09-03,69
2017-09-10,70
2017-09-17,71
2017-09-24,70
2017-10-01,74
2017-10-08,69
2017-10-15,72
2017-10-22,78
